Fecha,T_Amb_Avg(ºC),H_Relat_Avg (%),Rad_Glob_Avg (W/m²),Rad_Par_Avg (µmol/m²/s),R_Neta_Avg (W/m²),VPD_Avg (kPa),Lluvia (mm)
2011-06-10 16:30:00.000,25.06,47.26,620.8,966.0,-377.3,1.667,0
2011-06-10 17:00:00.000,24.79,49.65,536.9,834.0,-375.1,1.575,0
2011-06-10 17:30:00.000,24.26,50.83,435.1,669.6,NAN,1.49,0
2011-06-10 18:00:00.000,24.02,52.39,327.9,497.0,-386.5,1.423,0
2011-06-10 18:30:00.000,23.41,55.99,235.8,346.6,NAN,1.267,0
2011-06-10 19:00:00.000,22.67,59.15,127.3,181.6,-388.1,1.125,0
2011-06-10 19:30:00.000,21.84,62.83,47.66,63.13,-372.9,0.973,0
2011-06-10 20:00:00.000,21.06,66.03,6.075,8.77,-391.1,0.848,0
2011-06-10 20:30:00.000,20.39,69.69,0.139,0.155,-391.3,0.726,0
2011-06-10 21:00:00.000,19.8,73.33,0.0,0.0,-393.7,0.616,0
2011-06-10 21:30:00.000,19.45,75.2,0.0,0.0,-372.7,0.56,0
2011-06-10 22:00:00.000,19.04,76.92,0.0,0.0,-391.6,0.508,0
2011-06-10 22:30:00.000,18.56,79.53,0.0,0.0,-389.4,0.438,0
2011-06-10 23:00:00.000,18.02,81.6,0.0,0.0,-411.2,0.38,0
2011-06-10 23:30:00.000,17.69,82.3,0.0,0.0,NAN,0.357,0
2011-06-11 00:00:00.000,17.63,82.8,0.0,0.0,NAN,0.346,0
2011-06-11 00:30:00.000,17.44,83.8,0.0,0.0,NAN,0.323,0
2011-06-11 01:00:00.000,17.19,84.7,0.0,0.0,-394.8,0.3,0
2011-06-11 01:30:00.000,16.74,85.6,0.0,0.0,NAN,0.274,0
2011-06-11 02:00:00.000,16.39,86.5,0.0,0.0,NAN,0.252,0
2011-06-11 02:30:00.000,15.56,87.3,0.0,0.0,NAN,0.224,0
2011-06-11 03:00:00.000,15.1,88.4,0.0,0.0,NAN,0.198,0
2011-06-11 03:30:00.000,14.8,88.9,0.0,0.0,NAN,0.187,0
2011-06-11 04:00:00.000,14.34,89.4,0.0,0.0,NAN,0.173,0
2011-06-11 04:30:00.000,14.03,89.9,0.0,0.0,NAN,0.161,0
2011-06-11 05:00:00.000,13.78,90.3,0.432,0.877,NAN,0.153,0
2011-06-11 05:30:00.000,13.66,90.5,13.92,21.82,NAN,0.148,0
2011-06-11 06:00:00.000,14.14,90.3,85.9,127.4,NAN,0.156,0
2011-06-11 06:30:00.000,15.36,87.9,146.0,238.3,NAN,0.211,0
2011-06-11 07:00:00.000,16.2,84.1,228.3,396.5,NAN,0.294,0
2011-06-11 07:30:00.000,17.78,78.75,304.8,502.2,NAN,0.434,0
2011-06-11 08:00:00.000,19.86,73.53,456.9,738.3,NAN,0.615,0
2011-06-11 08:30:00.000,21.06,69.68,540.0,872.0,NAN,0.757,0
2011-06-11 09:00:00.000,21.73,65.31,635.3,1023.0,NAN,0.902,0
2011-06-11 09:30:00.000,22.68,61.28,727.0,1167.0,-354.6,1.068,0
2011-06-11 10:00:00.000,23.91,56.42,838.0,1336.0,NAN,1.294,0
2011-06-11 10:30:00.000,24.59,51.61,897.0,1427.0,-379.5,1.496,0
2011-06-11 11:00:00.000,25.65,48.63,937.0,1483.0,NAN,1.692,0
2011-06-11 11:30:00.000,26.35,45.12,980.0,1545.0,NAN,1.884,0
2011-06-11 12:00:00.000,27.01,40.31,1019.0,1599.0,-379.5,2.13,0
2011-06-11 12:30:00.000,27.71,36.54,1022.0,1601.0,NAN,2.358,0
2011-06-11 13:00:00.000,28.08,33.53,1039.0,1623.0,NAN,2.525,0
2011-06-11 13:30:00.000,28.42,32.47,1024.0,1597.0,-392.2,2.616,0
2011-06-11 14:00:00.000,28.89,30.88,987.0,1538.0,NAN,2.75,0
2011-06-11 14:30:00.000,29.17,30.78,929.0,1449.0,NAN,2.801,0
2011-06-11 15:00:00.000,29.37,30.3,871.0,1360.0,NAN,2.852,0
2011-06-11 15:30:00.000,29.9,29.23,802.0,1249.0,NAN,2.986,0
2011-06-11 16:00:00.000,30.05,28.66,717.8,1116.0,NAN,3.036,0
2011-06-11 16:30:00.000,30.31,28.65,620.3,963.0,NAN,3.081,0
2011-06-11 17:00:00.000,30.14,28.47,502.9,776.6,-390.1,3.059,0
2011-06-11 17:30:00.000,30.43,27.15,435.4,662.4,NAN,3.169,0
2011-06-11 18:00:00.000,30.29,26.45,318.3,478.5,-389.4,3.172,0
2011-06-11 18:30:00.000,30.29,26.01,218.1,320.1,NAN,3.191,0
2011-06-11 19:00:00.000,30.16,27.17,124.3,178.1,NAN,3.121,0
2011-06-11 19:30:00.000,28.41,34.19,52.86,70.23,NAN,2.555,0
2011-06-11 20:00:00.000,26.44,40.54,6.069,8.94,-418.2,2.052,0
2011-06-11 20:30:00.000,25.48,41.48,0.152,0.278,NAN,1.907,0
2011-06-11 21:00:00.000,24.48,42.6,0.0,0.031,NAN,1.763,0
2011-06-11 21:30:00.000,23.47,45.34,0.0,0.01,NAN,1.581,0
2011-06-11 22:00:00.000,22.13,50.06,0.0,0.001,NAN,1.331,0
2011-06-11 22:30:00.000,21.31,58.11,0.0,0.001,-420.4,1.063,0
2011-06-11 23:00:00.000,20.52,62.78,0.0,0.0,-393.9,0.899,0
2011-06-11 23:30:00.000,20.0,62.58,0.0,0.0,NAN,0.874,0
2011-06-12 00:00:00.000,19.7,62.6,0.0,0.0,-402.9,0.858,0
2011-06-12 00:30:00.000,19.35,63.4,0.0,0.0,-397.5,0.822,0
2011-06-12 01:00:00.000,19.2,62.82,0.0,0.0,NAN,0.827,0
2011-06-12 01:30:00.000,19.06,61.68,0.0,0.0,NAN,0.845,0
2011-06-12 02:00:00.000,18.85,62.18,0.0,0.0,NAN,0.824,0
2011-06-12 02:30:00.000,18.07,66.49,0.0,0.0,NAN,0.695,0
2011-06-12 03:00:00.000,17.24,72.53,0.0,0.0,NAN,0.54,0
2011-06-12 03:30:00.000,16.83,73.49,0.0,0.0,NAN,0.508,0
2011-06-12 04:00:00.000,15.98,77.48,0.0,0.0,NAN,0.409,0
2011-06-12 04:30:00.000,15.84,78.08,0.0,0.0,NAN,0.394,0
2011-06-12 05:00:00.000,16.26,75.55,1.122,1.318,NAN,0.452,0
2011-06-12 05:30:00.000,15.85,77.96,21.33,31.35,NAN,0.397,0
2011-06-12 06:00:00.000,16.1,78.74,67.09,106.7,NAN,0.389,0
2011-06-12 06:30:00.000,17.25,74.09,151.5,241.8,NAN,0.511,0
2011-06-12 07:00:00.000,18.82,68.14,225.9,367.2,NAN,0.693,0
2011-06-12 07:30:00.000,20.65,60.85,359.0,583.1,-410.2,0.953,0
2011-06-12 08:00:00.000,22.24,56.34,477.9,774.2,-409.3,1.172,0
2011-06-12 08:30:00.000,23.58,51.9,579.3,935.0,NAN,1.4,0
2011-06-12 09:00:00.000,24.65,48.53,674.9,1086.0,-387.1,1.597,0
2011-06-12 09:30:00.000,25.76,45.79,761.2,1218.0,-380.7,1.797,0
2011-06-12 10:00:00.000,26.56,42.24,838.0,1335.0,-405.5,2.008,0
2011-06-12 10:30:00.000,27.75,38.73,904.0,1436.0,NAN,2.282,0
2011-06-12 11:00:00.000,28.47,36.75,958.0,1514.0,NAN,2.457,0
2011-06-12 11:30:00.000,29.02,34.44,999.0,1573.0,NAN,2.63,0
2011-06-12 12:00:00.000,29.46,32.55,1021.0,1606.0,-435.9,2.775,0
2011-06-12 12:30:00.000,29.96,33.29,1032.0,1619.0,NAN,2.824,0
2011-06-12 13:00:00.000,30.46,31.56,1031.0,1615.0,NAN,2.982,0
2011-06-12 13:30:00.000,31.08,30.01,1016.0,1587.0,NAN,3.16,0
2011-06-12 14:00:00.000,31.54,29.05,985.0,1538.0,NAN,3.287,0
2011-06-12 14:30:00.000,32.25,26.96,937.0,1463.0,NAN,3.523,0
2011-06-12 15:00:00.000,32.72,28.09,864.0,1353.0,NAN,3.561,0
2011-06-12 15:30:00.000,32.52,28.91,790.7,1235.0,NAN,3.482,0
2011-06-12 16:00:00.000,32.55,28.1,723.5,1128.0,-379.3,3.528,0
2011-06-12 16:30:00.000,32.48,27.29,625.4,975.0,NAN,3.552,0
2011-06-12 17:00:00.000,32.49,26.74,538.4,835.0,NAN,3.582,0
2011-06-12 17:30:00.000,32.29,27.46,436.7,671.3,NAN,3.506,0
2011-06-12 18:00:00.000,31.46,32.73,330.6,501.1,NAN,3.109,0
2011-06-12 18:30:00.000,30.02,36.71,230.6,339.3,NAN,2.689,0
2011-06-12 19:00:00.000,29.15,37.1,133.1,190.0,-423.3,2.541,0
2011-06-12 19:30:00.000,28.08,38.17,49.77,67.06,-406.6,2.348,0
2011-06-12 20:00:00.000,27.07,39.72,5.893,9.73,-401.3,2.158,0
2011-06-12 20:30:00.000,26.12,43.31,0.183,0.312,-394.4,1.921,0
2011-06-12 21:00:00.000,24.76,50.67,0.005,0.124,-390.5,1.541,0
2011-06-12 21:30:00.000,23.73,55.34,0.001,0.064,-408.8,1.311,0
2011-06-12 22:00:00.000,23.11,56.57,0.0,0.006,NAN,1.228,0
2011-06-12 22:30:00.000,22.27,58.5,0.0,0.001,-398.2,1.116,0
2011-06-12 23:00:00.000,21.12,64.59,0.0,0.0,NAN,0.887,0
2011-06-12 23:30:00.000,20.58,67.51,0.0,0.0,-413.5,0.788,0
2011-06-13 00:00:00.000,20.07,69.88,0.0,0.0,-381.8,0.707,0
2011-06-13 00:30:00.000,19.96,69.54,0.0,0.0,-417.5,0.71,0
2011-06-13 01:00:00.000,19.97,69.19,0.0,0.0,-418.1,0.719,0
2011-06-13 01:30:00.000,19.98,67.99,0.0,0.0,-403.9,0.747,0
2011-06-13 02:00:00.000,19.95,65.78,0.0,0.0,NAN,0.797,0
2011-06-13 02:30:00.000,19.71,64.51,0.0,0.0,-406,0.815,0
2011-06-13 03:00:00.000,19.02,66.07,0.0,0.0,NAN,0.746,0
2011-06-13 03:30:00.000,19.14,64.94,0.0,0.0,NAN,0.777,0
2011-06-13 04:00:00.000,18.76,67.1,0.0,0.0,NAN,0.712,0
2011-06-13 04:30:00.000,18.46,68.99,0.0,0.0,NAN,0.658,0
2011-06-13 05:00:00.000,18.05,70.7,0.637,1.273,0.19,0.607,0
2011-06-13 05:30:00.000,17.81,71.89,15.3,26.42,NAN,0.573,0
2011-06-13 06:00:00.000,17.98,72.79,80.4,124.9,NAN,0.561,0
2011-06-13 06:30:00.000,19.67,67.73,170.6,270.5,NAN,0.741,0
2011-06-13 07:00:00.000,20.79,64.41,271.3,435.1,NAN,0.875,0
2011-06-13 07:30:00.000,21.93,59.0,375.3,607.1,NAN,1.08,0
2011-06-13 08:00:00.000,22.97,54.97,479.5,775.6,NAN,1.263,0
2011-06-13 08:30:00.000,24.06,51.33,579.5,934.0,NAN,1.458,0
2011-06-13 09:00:00.000,25.51,45.82,678.0,1086.0,NAN,1.771,0
2011-06-13 09:30:00.000,26.15,44.45,762.4,1217.0,NAN,1.884,0
2011-06-13 10:00:00.000,27.04,43.06,839.0,1332.0,NAN,2.035,0
2011-06-13 10:30:00.000,27.6,39.42,908.0,1435.0,NAN,2.238,0
2011-06-13 11:00:00.000,28.26,35.64,963.0,1514.0,NAN,2.469,0
2011-06-13 11:30:00.000,29.06,33.09,1004.0,1569.0,NAN,2.69,0
2011-06-13 12:00:00.000,29.71,30.78,1026.0,1597.0,NAN,2.89,0
2011-06-13 12:30:00.000,30.2,30.38,1039.0,1614.0,-410.9,2.988,0
2011-06-13 13:00:00.000,30.33,29.18,1037.0,1609.0,-405.5,3.062,0
2011-06-13 13:30:00.000,30.61,28.21,1022.0,1584.0,NAN,3.155,0
2011-06-13 14:00:00.000,31.12,27.3,986.0,1524.0,NAN,3.289,0
2011-06-13 14:30:00.000,31.47,26.52,943.0,1459.0,NAN,3.391,0
2011-06-13 15:00:00.000,32.1,26.01,885.0,1372.0,-424.1,3.539,0
2011-06-13 15:30:00.000,31.92,28.06,815.0,1263.0,-414.8,3.407,0
2011-06-13 16:00:00.000,31.92,26.81,733.0,1135.0,NAN,3.465,0
2011-06-13 16:30:00.000,32.01,22.98,644.3,992.0,NAN,3.665,0
2011-06-13 17:00:00.000,31.74,24.15,551.3,845.0,-388.6,3.556,0
2011-06-13 17:30:00.000,30.96,30.06,448.4,682.4,-374.7,3.137,0
2011-06-13 18:00:00.000,30.0,33.62,340.2,512.1,-409.6,2.818,0
2011-06-13 18:30:00.000,29.09,38.83,231.8,339.5,-397.8,2.463,0
2011-06-13 19:00:00.000,27.7,44.35,135.5,193.2,-406.4,2.069,0
2011-06-13 19:30:00.000,26.03,47.79,52.57,70.62,-381.6,1.758,0
2011-06-13 20:00:00.000,24.88,50.73,6.992,10.85,-383.7,1.55,0
2011-06-13 20:30:00.000,24.06,55.71,0.206,0.326,-386.7,1.327,0
2011-06-13 21:00:00.000,23.34,59.33,0.0,0.024,-396.8,1.167,0
2011-06-13 21:30:00.000,22.55,63.03,0.0,0.002,NAN,1.011,0
2011-06-13 22:00:00.000,21.83,65.96,0.0,0.001,NAN,0.89,0
2011-06-13 22:30:00.000,21.47,66.7,0.0,0.001,-419.7,0.852,0
2011-06-13 23:00:00.000,21.13,66.17,0.0,0.0,NAN,0.848,0
2011-06-13 23:30:00.000,21.16,67.15,0.0,0.0,-377.8,0.825,0
2011-06-14 00:00:00.000,20.89,68.51,0.0,0.0,NAN,0.778,0
2011-06-14 00:30:00.000,20.3,70.47,0.0,0.0,NAN,0.703,0
2011-06-14 01:00:00.000,20.06,69.8,0.0,0.0,NAN,0.708,0
2011-06-14 01:30:00.000,20.01,67.93,0.0,0.0,NAN,0.75,0
2011-06-14 02:00:00.000,19.43,69.82,0.0,0.0,NAN,0.681,0
2011-06-14 02:30:00.000,18.95,71.9,0.0,0.0,NAN,0.615,0
2011-06-14 03:00:00.000,18.74,72.69,0.0,0.0,NAN,0.59,0
2011-06-14 03:30:00.000,18.41,73.87,0.0,0.0,NAN,0.553,0
2011-06-14 04:00:00.000,17.83,76.33,0.0,0.0,NAN,0.484,0
2011-06-14 04:30:00.000,18.04,75.49,0.0,0.0,NAN,0.507,0
2011-06-14 05:00:00.000,17.78,76.65,0.943,1.47,NAN,0.475,0
2011-06-14 05:30:00.000,17.64,76.94,17.38,28.83,NAN,0.465,0
2011-06-14 06:00:00.000,18.34,75.1,85.2,130.9,NAN,0.526,0
2011-06-14 06:30:00.000,20.2,66.78,177.3,276.9,NAN,0.788,0
2011-06-14 07:00:00.000,20.54,65.38,278.9,441.7,NAN,0.837,0
2011-06-14 07:30:00.000,20.56,67.3,384.3,614.0,NAN,0.792,0
2011-06-14 08:00:00.000,21.85,62.7,491.3,785.1,NAN,0.978,0
2011-06-14 08:30:00.000,23.46,57.3,591.8,942.0,NAN,1.234,0
2011-06-14 09:00:00.000,24.51,54.98,689.7,1093.0,NAN,1.386,0
2011-06-14 09:30:00.000,25.4,52.61,777.1,1225.0,NAN,1.538,0
2011-06-14 10:00:00.000,26.03,49.66,857.0,1347.0,NAN,1.697,0
2011-06-14 10:30:00.000,27.12,43.42,927.0,1450.0,-423.6,2.033,0
2011-06-14 11:00:00.000,27.97,40.13,981.0,1528.0,NAN,2.26,0
2011-06-14 11:30:00.000,28.56,36.91,1020.0,1582.0,NAN,2.465,0
2011-06-14 12:00:00.000,29.27,34.1,1043.0,1616.0,NAN,2.682,0
2011-06-14 12:30:00.000,30.05,31.9,1052.0,1626.0,-440.4,2.899,0
2011-06-14 13:00:00.000,30.63,30.49,1047.0,1616.0,NAN,3.058,0
2011-06-14 13:30:00.000,30.93,27.58,1034.0,1591.0,NAN,3.242,0
2011-06-14 14:00:00.000,31.33,26.34,1008.0,1547.0,NAN,3.371,0
2011-06-14 14:30:00.000,31.7,25.86,963.0,1479.0,-407,3.466,0
2011-06-14 15:00:00.000,32.03,28.74,895.0,1381.0,NAN,3.395,0
2011-06-14 15:30:00.000,31.74,30.4,819.0,1267.0,NAN,3.261,0
2011-06-14 16:00:00.000,32.06,27.66,739.3,1139.0,NAN,3.451,0
2011-06-14 16:30:00.000,31.93,27.4,649.6,998.0,NAN,3.439,0
2011-06-14 17:00:00.000,31.26,27.64,551.7,844.0,-401.7,3.3,0
2011-06-14 17:30:00.000,30.84,31.07,447.5,680.6,NAN,3.07,0
2011-06-14 18:00:00.000,30.1,36.32,341.2,511.7,-423.7,2.718,0
2011-06-14 18:30:00.000,28.8,42.78,235.6,344.8,-397.8,2.268,0
2011-06-14 19:00:00.000,27.66,48.41,138.9,197.7,-402.8,1.913,0
2011-06-14 19:30:00.000,26.17,50.59,54.48,73.39,-397.5,1.676,0
2011-06-14 20:00:00.000,24.7,53.71,7.006,11.33,NAN,1.442,0
2011-06-14 20:30:00.000,23.8,57.43,0.205,0.3,-408.7,1.255,0
2011-06-14 21:00:00.000,23.0,61.26,0.0,0.002,-399.9,1.089,0
2011-06-14 21:30:00.000,22.04,67.49,0.0,0.0,-397.3,0.862,0
2011-06-14 22:00:00.000,21.61,67.8,0.0,0.0,NAN,0.831,0
2011-06-14 22:30:00.000,21.27,67.31,0.0,0.0,-394.9,0.826,0
2011-06-14 23:00:00.000,21.06,66.78,0.0,0.0,-401.9,0.829,0
2011-06-14 23:30:00.000,20.76,67.09,0.0,0.0,-413.9,0.806,0
2011-06-15 00:00:00.000,20.28,68.57,0.0,0.0,-409.2,0.747,0
2011-06-15 00:30:00.000,19.82,69.08,0.0,0.0,NAN,0.715,0
2011-06-15 01:00:00.000,19.58,69.54,0.0,0.0,NAN,0.693,0
2011-06-15 01:30:00.000,18.7,73.96,0.0,0.0,NAN,0.563,0
2011-06-15 02:00:00.000,18.36,76.46,0.0,0.0,NAN,0.497,0
2011-06-15 02:30:00.000,18.16,76.69,0.0,0.0,NAN,0.486,0
2011-06-15 03:00:00.000,17.84,77.91,0.0,0.0,NAN,0.451,0
2011-06-15 03:30:00.000,17.27,79.55,0.0,0.0,NAN,0.403,0
2011-06-15 04:00:00.000,16.74,80.3,0.0,0.0,NAN,0.376,0
2011-06-15 04:30:00.000,15.83,82.6,0.0,0.0,NAN,0.312,0
2011-06-15 05:00:00.000,15.75,83.7,0.925,1.471,NAN,0.292,0
2011-06-15 05:30:00.000,15.83,83.0,17.0,27.87,NAN,0.305,0
2011-06-15 06:00:00.000,17.02,78.37,83.9,131.0,NAN,0.421,0
2011-06-15 06:30:00.000,18.32,73.29,173.9,273.6,NAN,0.563,0
2011-06-15 07:00:00.000,19.94,68.7,276.3,438.3,NAN,0.731,0
2011-06-15 07:30:00.000,21.54,64.54,380.9,608.2,NAN,0.912,0
2011-06-15 08:00:00.000,23.02,60.32,486.8,777.6,NAN,1.117,0
2011-06-15 08:30:00.000,24.15,55.38,588.2,938.0,NAN,1.346,0
2011-06-15 09:00:00.000,25.21,50.37,682.8,1084.0,-404.5,1.593,0
2011-06-15 09:30:00.000,26.56,44.86,772.5,1220.0,-418.2,1.916,0
2011-06-15 10:00:00.000,27.24,42.51,852.0,1340.0,NAN,2.08,0
2011-06-15 10:30:00.000,28.57,36.47,919.0,1440.0,-437.2,2.485,0
2011-06-15 11:00:00.000,29.61,34.33,974.0,1519.0,NAN,2.726,0
2011-06-15 11:30:00.000,30.58,31.12,1014.0,1576.0,NAN,3.022,0
2011-06-15 12:00:00.000,31.32,27.83,1038.0,1609.0,NAN,3.302,0
2011-06-15 12:30:00.000,32.02,26.69,1045.0,1619.0,NAN,3.491,0
2011-06-15 13:00:00.000,32.57,26.35,1034.0,1596.0,NAN,3.619,0
2011-06-15 13:30:00.000,33.3,22.93,1021.0,1572.0,-440.9,3.943,0
2011-06-15 14:00:00.000,33.13,26.87,981.0,1514.0,NAN,3.706,0
2011-06-15 14:30:00.000,33.84,22.19,944.0,1453.0,NAN,4.103,0
2011-06-15 15:00:00.000,34.03,23.1,883.0,1360.0,NAN,4.099,0
2011-06-15 15:30:00.000,34.44,23.39,810.0,1249.0,NAN,4.179,0
2011-06-15 16:00:00.000,34.8,21.9,731.8,1127.0,NAN,4.344,0
2011-06-15 16:30:00.000,34.16,26.34,641.5,988.0,NAN,3.954,0
2011-06-15 17:00:00.000,33.77,27.38,543.6,833.0,NAN,3.814,0
2011-06-15 17:30:00.000,33.61,27.42,439.9,669.3,NAN,3.779,0
2011-06-15 18:00:00.000,33.13,27.17,336.0,502.0,-409.9,3.691,0
2011-06-15 18:30:00.000,32.87,24.73,231.8,335.8,NAN,3.761,0
2011-06-15 19:00:00.000,31.58,30.35,134.3,189.7,NAN,3.236,0
2011-06-15 19:30:00.000,30.0,35.16,51.26,69.39,NAN,2.755,0
2011-06-15 20:00:00.000,28.26,42.37,6.623,10.65,-408.9,2.214,0
2011-06-15 20:30:00.000,26.68,47.91,0.194,0.349,-418.5,1.823,0
2011-06-15 21:00:00.000,25.58,50.98,0.002,0.074,NAN,1.608,0
2011-06-15 21:30:00.000,24.75,53.78,0.0,0.017,NAN,1.443,0
2011-06-15 22:00:00.000,23.96,57.41,0.0,0.005,NAN,1.268,0
2011-06-15 22:30:00.000,23.38,60.25,0.0,0.003,-409.9,1.142,0
2011-06-15 23:00:00.000,23.01,61.68,0.0,0.0,NAN,1.077,0
2011-06-15 23:30:00.000,23.1,59.8,0.0,0.0,NAN,1.138,0
2011-06-16 00:00:00.000,23.55,56.53,0.0,0.0,NAN,1.267,0
2011-06-16 00:30:00.000,21.94,64.71,0.0,0.0,NAN,0.931,0
2011-06-16 01:00:00.000,22.17,61.93,0.0,0.0,NAN,1.017,0
2011-06-16 01:30:00.000,21.93,64.14,0.0,0.0,NAN,0.944,0
2011-06-16 02:00:00.000,21.58,61.83,0.0,0.0,NAN,0.984,0
2011-06-16 02:30:00.000,22.56,55.12,0.0,0.0,NAN,1.228,0
2011-06-16 03:00:00.000,22.46,53.77,0.0,0.0,NAN,1.257,0
2011-06-16 03:30:00.000,21.91,54.86,0.0,0.0,-415.6,1.187,0
2011-06-16 04:00:00.000,21.71,55.72,0.0,0.0,-427.7,1.151,0
2011-06-16 04:30:00.000,20.47,59.88,0.0,0.0,NAN,0.966,0
2011-06-16 05:00:00.000,20.09,60.89,0.919,1.353,NAN,0.919,0
2011-06-16 05:30:00.000,20.59,59.53,16.63,26.77,-441.2,0.981,0
2011-06-16 06:00:00.000,20.48,60.51,79.2,120.5,NAN,0.951,0
2011-06-16 06:30:00.000,20.75,61.0,169.5,264.9,NAN,0.956,0
2011-06-16 07:00:00.000,22.84,54.08,272.9,430.2,NAN,1.28,0
2011-06-16 07:30:00.000,23.85,50.77,379.6,604.2,-437.2,1.455,0
2011-06-16 08:00:00.000,24.87,46.98,484.7,773.9,NAN,1.667,0
2011-06-16 08:30:00.000,25.64,43.59,584.9,934.0,-416.2,1.857,0
2011-06-16 09:00:00.000,26.63,38.82,679.9,1084.0,NAN,2.135,0
2011-06-16 09:30:00.000,27.38,35.36,766.6,1218.0,NAN,2.357,0
2011-06-16 10:00:00.000,28.17,31.98,845.0,1337.0,NAN,2.597,0
2011-06-16 10:30:00.000,28.94,29.93,913.0,1440.0,NAN,2.797,0
2011-06-16 11:00:00.000,29.69,27.6,968.0,1518.0,NAN,3.018,0
2011-06-16 11:30:00.000,30.69,26.11,1008.0,1573.0,NAN,3.262,0
2011-06-16 12:00:00.000,31.54,25.39,1034.0,1609.0,NAN,3.457,0
2011-06-16 12:30:00.000,31.87,24.78,1044.0,1623.0,NAN,3.55,0
2011-06-16 13:00:00.000,32.4,22.99,1042.0,1617.0,NAN,3.745,0
2011-06-16 13:30:00.000,33.19,22.18,1025.0,1590.0,NAN,3.959,0
2011-06-16 14:00:00.000,33.54,20.6,990.0,1531.0,NAN,4.116,0
2011-06-16 14:30:00.000,34.01,19.29,945.0,1462.0,NAN,4.296,0
2011-06-16 15:00:00.000,34.31,18.71,887.0,1373.0,NAN,4.401,0
2011-06-16 15:30:00.000,34.68,18.71,817.0,1263.0,NAN,4.49,0
2011-06-16 16:00:00.000,34.87,19.35,735.4,1135.0,NAN,4.504,0
2011-06-16 16:30:00.000,35.03,19.51,646.3,997.0,NAN,4.533,0
2011-06-16 17:00:00.000,34.71,21.78,547.4,842.0,NAN,4.328,0
2011-06-16 17:30:00.000,34.42,23.53,446.3,677.9,NAN,4.166,0
2011-06-16 18:00:00.000,33.77,26.69,340.8,508.9,NAN,3.851,0
2011-06-16 18:30:00.000,32.9,29.72,238.6,346.3,NAN,3.517,0
2011-06-16 19:00:00.000,31.37,37.29,88.1,137.6,NAN,2.882,0
2011-06-16 19:30:00.000,29.71,42.84,26.99,40.04,-419.8,2.387,0
2011-06-16 20:00:00.000,28.15,47.81,4.971,8.35,-417.6,1.991,0
2011-06-16 20:30:00.000,26.72,52.82,0.159,0.307,-409.9,1.656,0
2011-06-16 21:00:00.000,25.52,57.27,0.001,0.048,NAN,1.397,0
2011-06-16 21:30:00.000,24.6,59.96,0.0,0.006,-403.7,1.239,0
2011-06-16 22:00:00.000,23.58,62.79,0.0,0.001,NAN,1.083,0
2011-06-16 22:30:00.000,22.82,65.39,0.0,0.0,NAN,0.962,0
2011-06-16 23:00:00.000,22.14,67.85,0.0,0.0,NAN,0.857,0
2011-06-16 23:30:00.000,21.88,67.75,0.0,0.0,-429.8,0.846,0
2011-06-17 00:00:00.000,21.55,66.46,0.0,0.0,NAN,0.863,0
2011-06-17 00:30:00.000,21.31,66.02,0.0,0.0,NAN,0.861,0
2011-06-17 01:00:00.000,21.03,66.51,0.0,0.0,NAN,0.834,0
2011-06-17 01:30:00.000,20.26,69.49,0.0,0.0,NAN,0.725,0
2011-06-17 02:00:00.000,20.25,70.89,0.0,0.0,NAN,0.691,0
2011-06-17 02:30:00.000,19.45,72.78,0.0,0.0,NAN,0.615,0
2011-06-17 03:00:00.000,20.01,67.94,0.0,0.0,NAN,0.75,0
2011-06-17 03:30:00.000,18.92,74.05,0.0,0.0,NAN,0.568,0
2011-06-17 04:00:00.000,18.54,75.44,0.0,0.0,NAN,0.524,0
2011-06-17 04:30:00.000,19.3,61.09,0.0,0.0,NAN,0.872,0
2011-06-17 05:00:00.000,19.04,60.15,0.879,1.383,NAN,0.878,0
2011-06-17 05:30:00.000,18.11,65.98,17.42,28.49,NAN,0.707,0
2011-06-17 06:00:00.000,17.9,72.25,84.0,126.6,NAN,0.569,0
2011-06-17 06:30:00.000,19.39,69.27,175.3,269.9,NAN,0.693,0
2011-06-17 07:00:00.000,21.39,58.87,279.5,437.5,NAN,1.055,0
2011-06-17 07:30:00.000,22.98,46.91,385.6,609.3,NAN,1.49,0
2011-06-17 08:00:00.000,23.99,42.92,493.6,780.6,NAN,1.702,0
2011-06-17 08:30:00.000,24.77,40.33,593.9,938.0,NAN,1.864,0
2011-06-17 09:00:00.000,25.71,38.89,690.6,1085.0,NAN,2.019,0
2011-06-17 09:30:00.000,26.28,37.68,776.0,1216.0,NAN,2.13,0
2011-06-17 10:00:00.000,26.92,35.41,856.0,1338.0,NAN,2.292,0
2011-06-17 10:30:00.000,27.88,33.91,923.0,1437.0,NAN,2.481,0
2011-06-17 11:00:00.000,28.76,31.71,976.0,1515.0,NAN,2.697,0
2011-06-17 11:30:00.000,29.41,30.09,1021.0,1575.0,NAN,2.869,0
2011-06-17 12:00:00.000,29.92,30.19,1047.0,1609.0,NAN,2.949,0
2011-06-17 12:30:00.000,30.39,25.77,1059.0,1626.0,NAN,3.221,0
2011-06-17 13:00:00.000,30.74,20.32,1065.0,1626.0,NAN,3.529,0
2011-06-17 13:30:00.000,31.37,15.75,1054.0,1603.0,NAN,3.867,0
2011-06-17 14:00:00.000,31.96,15.17,1021.0,1554.0,NAN,4.025,0
2011-06-17 14:30:00.000,32.73,19.6,967.0,1478.0,-427.9,3.984,0
