,rawTrain20140,rawTrain20143,rawTrain20146,rawTrain20149,80ZIM4MeteoTrain20140,80ZIM4MeteoTrain20143,80ZIM4MeteoTrain20146,80ZIM4MeteoTrain20149,15ZIM4MeteoTrain20140,15ZIM4MeteoTrain20143,15ZIM4MeteoTrain20146,15ZIM4MeteoTrain20149
CNN,0.5684156621450078,0.36847556967747197,0.572330719455996,0.48866429408434925,0.6765621571866004,0.6687249439753103,0.6477142029259187,0.6054957563549764,0.5785940414270251,0.5197967112264218,0.598915278536101,0.3789730433779113
LDA,0.3916940290201734,0.43690588513536016,0.5194176921705012,0.4702237270091231,0.6449638559217857,0.6230059806042593,0.5535375035863556,0.4477850291720662,0.3333006912258471,0.35031569621823655,0.3319137009957867,0.3746340662954646
Nearest Neighbors,0.5702184472551437,0.5994730737108391,0.5578539020232747,0.4882254074077115,0.6617439802822286,0.6446710177313069,0.6398805247550902,0.6392705592251556,0.4892890269607273,0.5472100092275959,0.5402131378524379,0.5190093379804291
Linear SVM,0.5103407345677238,0.5426458728744713,0.5424621362956515,0.595176688164274,0.7163511472004532,0.7027751664091788,0.6856184747144257,0.6879632328423959,0.40419712503141625,0.4331654132097391,0.4040494800753716,0.40547797852246265
Random Forest,0.5243400649626403,0.5245102315474309,0.5078038013772518,0.49667002039376246,0.660546342783979,0.6572887174736365,0.6238567280030396,0.6121383539574435,0.3681113749847765,0.34754208636719625,0.3366875735801567,0.3363019120691755
BEST,0.5702184472551437,0.5994730737108391,0.572330719455996,0.595176688164274,0.7163511472004532,0.7027751664091788,0.6856184747144257,0.6879632328423959,0.5785940414270251,0.5472100092275959,0.598915278536101,0.5190093379804291
