,80ZIM4MeteoTrain20140,80ZIM4MeteoTrain20143,80ZIM4MeteoTrain20146,80ZIM4MeteoTrain20149,15ZIM4MeteoTrain20140,15ZIM4MeteoTrain20143,15ZIM4MeteoTrain20146,15ZIM4MeteoTrain20149
CNN,0.6449226612970542,0.6664666232882992,0.6381654599635,0.5848616396566769,0.5220413193774497,0.6084316074581598,0.4520472616664318,0.39489996861796345
BEST,0.6449226612970542,0.6664666232882992,0.6381654599635,0.5848616396566769,0.5220413193774497,0.6084316074581598,0.4520472616664318,0.39489996861796345
