,ZIMmeteoraw0
CNN,0.4075445194633063
LDA,0.4969860937191848
Nearest Neighbors,0.6288243343429875
Linear SVM,0.6232022639676064
Random Forest,0.35229847771101896
BEST,0.6288243343429875
