Dataset,QDA accuracy,Dissim accuracy
iris,0.9866666666666667,0.9733333333333334
digits,0.9566184649610678,0.9599555061179088
wine,0.9662921348314607,0.9775280898876404
breast_cancer,0.9614035087719298,0.9087719298245615
covtype,0.6512,0.6568
