,40Z0MTrain20140,80Z0MTrain20140,120Z0MTrain20140,40Z4MTrain20140,80Z4MTrain20140,120Z4MTrain20140,40Z8MTrain20140,80Z8MTrain20140,120Z8MTrain20140
CNN,0.7806679908598374,0.7508251984271169,0.763223360705375,0.6551276150796536,0.7103303216013049,0.6671470904084812,0.49542426664728817,0.5201083577582378,0.36999733546496133
LDA,0.737464573795509,0.7249505446148131,0.6932619560916923,0.4431832311928235,0.734924383725343,0.3628470960605253,0.6417738536443572,0.4353575725278363,0.43636202149391595
Nearest Neighbors,0.6403576128995794,0.6395582523879887,0.6370891165855195,0.49039636977286855,0.6360503516378816,0.6178273542781936,0.44844972506843006,0.48712787345880865,0.5477339340648693
Linear SVM,0.7730712399777149,0.7829477831875913,0.7854169189900605,0.4252125572269458,0.7912256053742865,0.6517594005603597,0.4292255084821032,0.42230942518712306,0.5338420172952546
Random Forest,0.7913963778472172,0.8038393527602161,0.7948332243296273,0.5160578607820814,0.8145152564816834,0.6553694418202812,0.513562483346656,0.5707054558373503,0.5638131918707457
BEST,0.7913963778472172,0.8038393527602161,0.7948332243296273,0.6551276150796536,0.8145152564816834,0.6671470904084812,0.6417738536443572,0.5707054558373503,0.5638131918707457
