,40Z0M0,80Z0M0,120Z0M0,40Z4M0,80Z4M0,120Z4M0,40Z8M0,80Z8M0,120Z8M0
CNN,0.7210364766867251,0.6776665468126387,0.681562606114555,0.6183654933707153,0.6385447102537799,0.6685816531452993,0.6991463941374123,0.4473752146392828,0.654841138663255
LDA,0.6855600414525926,0.676178637013328,0.6615787322538377,0.692348248673185,0.6960863672648775,0.705847329296383,0.6901260097880394,0.7295434049517686,0.7202928639721052
Nearest Neighbors,0.6781056743562489,0.6778682574521652,0.6781056743562489,0.7305888843779975,0.6922378270500423,0.7132880685017544,0.7111677412466985,0.7326010514066662,0.7347080185677336
Linear SVM,0.6478031363668663,0.6511034663998695,0.6532284652245383,0.6420198522070102,0.6523211392869245,0.6661798117494321,0.6489205341609569,0.6766245189919835,0.6641105146974722
Random Forest,0.6772765748932353,0.6725634967478139,0.6711821403929855,0.6136834499202383,0.6631553721205724,0.6183416296839032,0.599143115112117,0.6092203453819363,0.6196470209608865
BEST,0.7210364766867251,0.6778682574521652,0.681562606114555,0.7305888843779975,0.6960863672648775,0.7132880685017544,0.7111677412466985,0.7326010514066662,0.7347080185677336
