,ZIMindicatorsTrain20140
CNN,0.6071267213936543
LDA,0.6363469382216329
Nearest Neighbors,0.593415667846686
Linear SVM,0.6281687076393822
Random Forest,0.6404604424411028
BEST,0.6404604424411028
