Classifier, Accuracy
LDA, 0.7216220311479685
Nearest Neighbors, 0.6174490418633329
Linear SVM, 0.7050107246780847
RBF SVM, 0.3333333333333333
Gaussian Process, 0.5941048873335738
Decision Tree, 0.7118350942192809
Random Forest, 0.7150735345480284
Neural Net, 0.6949360650033266
AdaBoost, 0.6852881144857803
Naive Bayes, 0.7092887327745592
QDA, 0.7123087064333852
