,TDVrawTrain20143,TDVrawTrain20146,TDVrawTrain20149
CNN,0.41897117375878556,0.5675301138797595,0.4058081074338353
LDA,0.5257396483336306,0.511323686678939,0.4505156043066169
Nearest Neighbors,0.5931925630749566,0.5788558437038686,0.5804805942395509
Neural Net,0.6434461689826684,0.5377274477053026,0.6434457602840093
Naive Bayes,0.5869335930662745,0.5791234076455344,0.575281026854949
QDA,0.3395747425284261,0.3565323725971103,0.34982636214673013
BEST,0.6434461689826684,0.5791234076455344,0.6434457602840093
