Dataset,Fk,ck
iris,"[1104.4104725670775, 6.510033546529736, 0.10992271437914154]","[20.666283846868442, 20.666283846868442, 20.666283846868442]"
digits,"[2.1135159191660532e-05, 9.65038007226894e-16, 1.1903281297194482e-15, 1.6157621185792762e-15, 1.838209424965408e-18, 2.4852129810779157e-14, 1.9020820807975044e-16, 3.2791098638519684e-18, 1.4886697920717312e-19, 1.8949017787936554e-16]","[107.0949253823232, 109.50155291900462, 107.0949253823232, 109.50155291900462, 108.29823915066392, 109.50155291900462, 108.29823915066392, 108.29823915066392, 104.68829784564178, 108.29823915066392]"
wine,"[0.15439203616569308, 1.775044113419339e-06, 0.00022255964654493897]","[20.440997876897885, 25.375031847183582, 16.916687898122387]"
breast_cancer,"[2.4920036640146932e-09, 2.964516097852571e-32]","[76.41378699049093, 128.31749136139044]"
