Dataset,Fk,ck
iris,"[189741200.14857015, 1213684.3168852231, 22.226114583668988]","[18.704449696375193, 18.704449696375193, 18.704449696375193]"
digits,"[70158905058.25359, 1.972924826134435e-20, 5.050062772967111e-12, 2.4974360467663146e-23, 2.411540637254792e-09, 5.42434666939686e-13, 1.9146257957284284e-25, 2.0485317463783357e-20, 5.108934356235925e-34, 3.3290255716105977e-22]","[193.53492370774023, 193.53492370774023, 188.15895360474744, 198.91089381073303, 193.53492370774023, 193.53492370774023, 193.53492370774023, 193.53492370774023, 188.15895360474744, 193.53492370774023]"
wine,"[nan, nan, nan]","[nan, nan, nan]"
breast_cancer,"[31617.07605554363, 5.111040649730841e-67]","[246.84056142419513, 417.27809193137745]"
