Dataset,Fk,ck
iris,"[147.65286654503495, 5.665541732960818, 0.5328678208757786]","[12.500000000088981, 12.500000000088981, 12.500000000088981]"
digits,"[3.5688303776037976e-08, 8.756922207943615e-13, 8.948578144115572e-12, 1.1721139990641722e-12, 3.021819446073054e-13, 3.93627347360185e-12, 4.6921615773838055e-12, 2.793523336907264e-13, 3.021113019463302e-14, 4.898690795884321e-13]","[44.49999999597054, 45.499999995879996, 44.49999999597054, 45.499999995879996, 44.99999999592527, 45.499999995879996, 44.99999999592527, 44.99999999592527, 43.49999999606109, 44.99999999592527]"
wine,"[0.00588038854130127, 1.7981661394028803e-06, 8.757540397894039e-05]","[14.49999999419213, 17.99999999279023, 11.999999995193487]"
breast_cancer,"[5.758286964409502e-10, 2.8736354873236795e-24]","[52.999999964798185, 88.99999994088752]"
