Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0628976598492972e-09, 1.5635399711373078e-11, 8.736162713428332e-11, 1.547139457089419e-11, 7.017841085412064e-11, 2.238543465584911e-11, 1.563024527104571e-10, 5.401706387613891e-11, 1.427759031667257e-11, 1.6674129011580433e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474362e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.156514701637847e-23, 9.685335453328979e-23, 6.0586908888799565e-22, 1.831955140869997e-19, 1.2915626776980176e-21, 2.6538940917684497e-21, 3.7282291540116506e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
