Dataset,Fk,ck
iris,"[1296.9822538969177, 138.67109683424198, 27.515755264566945]","[9.698863056727886, 8.952796667748817, 8.952796667748817]"
digits,"[0.0004934739411124698, 5.5789152535410336e-11, 1.538837115128282e-14, 1.5411728798558525e-12, 1.6927675705489183e-10, 8.622514985433326e-13, 8.064694474625978e-16, 1.401193854591751e-09, 2.949600625981998e-15, 2.428445344008573e-12]","[54.4711696040142, 54.4711696040142, 53.26069916836944, 55.68164003965896, 54.4711696040142, 54.4711696040142, 54.4711696040142, 54.4711696040142, 53.26069916836944, 54.4711696040142]"
wine,"[17.5075157849822, 0.8383250236355168, 0.8939675968904213]","[7.535113178261511, 8.539794935363046, 6.028090542609209]"
breast_cancer,"[3.2746458613407484e-07, 1.468670584537446e-19]","[58.6033106490205, 98.40933297665705]"
