Dataset,Fk,ck
iris,"[6962.642756711056, 483.34371059117774, 63.49780045143543]","[12.745334716797613, 11.764924353967027, 11.764924353967027]"
digits,"[0.13136885393582223, 9.900278734225946e-12, 8.13011574832391e-18, 5.782790762097679e-14, 2.150086994571528e-11, 2.342737165035667e-14, 3.8141480347502307e-20, 2.0526664208904624e-10, 2.0742799478569512e-18, 4.0792743876100024e-14]","[83.61103382353822, 83.61103382353822, 81.75301084968181, 85.46905679739463, 83.61103382353822, 83.61103382353822, 83.61103382353822, 83.61103382353822, 81.75301084968181, 83.61103382353822]"
wine,"[1016.4460739455923, 95.56416721101527, 25.388719574276024]","[7.743254635804087, 8.775688587244632, 6.19460370864327]"
breast_cancer,"[1.559802164857329e-05, 2.4519341802028642e-29]","[96.5852933552391, 162.19039827577885]"
