Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0624917770304288e-09, 1.5630819900006298e-11, 8.741025129351675e-11, 1.5474694207290164e-11, 7.013246216533819e-11, 2.2385927789244724e-11, 1.5617207219972198e-10, 5.404313964119508e-11, 1.4274748334871975e-11, 1.6682797586061422e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474323e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.15651470155704e-23, 9.685335453547203e-23, 6.058690887761443e-22, 1.83195514069824e-19, 1.2915626776854453e-21, 2.653894091386707e-21, 3.7282291537898174e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
