Dataset,Fk,ck
iris,"[247.84645976142556, 5.465484505111707, 1.3757652091286414]","[10.000000000482324, 10.000000000482324, 10.000000000482324]"
digits,"[4.357705302841022e-08, 1.7712343910673176e-12, 2.2869622309678516e-13, 1.4398290430742754e-12, 1.1159016315696995e-12, 9.957381106370708e-12, 1.178345138439857e-12, 1.142849052372423e-12, 1.1411640360528238e-12, 2.277878764297546e-13]","[35.49999999990738, 36.49999999990478, 35.49999999990738, 36.49999999990478, 35.99999999990608, 36.49999999990478, 35.99999999990608, 35.49999999990738, 34.999999999908695, 35.99999999990608]"
wine,"[0.013023814973311268, 0.00010371595844505473, 0.0002311378440069942]","[12.00000000523949, 14.000000006112739, 9.50000000414793]"
breast_cancer,"[5.554760355359652e-10, 2.3199613199254614e-15]","[42.500000049715865, 71.00000008305474]"
