Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0617497994343405e-09, 1.5644403371830693e-11, 8.74017916201454e-11, 1.547837699860475e-11, 7.02703742494531e-11, 2.2420931174900125e-11, 1.5632307982688659e-10, 5.409882595136323e-11, 1.4290417920116784e-11, 1.667918625775162e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.043342674647447e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.156514701735242e-23, 9.685335453207859e-23, 6.058690887934544e-22, 1.8319551410284899e-19, 1.2915626776533618e-21, 2.6538940916281724e-21, 3.728229153949159e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
