Dataset,Fk,ck
iris,"[98923861.60594544, 656594.4580642284, 2943.367456612027]","[35.56854985111832, 32.83250755487845, 32.83250755487845]"
digits,"[254771103530.26154, 1.75526589397462e-21, 1.976654208460157e-43, 7.687966021667128e-27, 6.587321504975671e-21, 2.1445447006833098e-29, 2.4276261439887607e-55, 3.12629020322619e-20, 4.3980213818248795e-46, 2.0685715087847903e-31]","[298.51093448688766, 298.51093448688766, 291.87735816495683, 305.1445108088185, 298.51093448688766, 298.51093448688766, 298.51093448688766, 298.51093448688766, 291.87735816495683, 298.51093448688766]"
wine,"[3.64111007676129e+16, 4.136450689490073e+17, 7503759790345.724]","[7.662744743071678, 8.684444042147902, 6.130195794457342]"
breast_cancer,"[1.0677342126696536, 1.3604395865922632e-96]","[365.99311334560844, 614.5922092030028]"
covtype,"[2.6776481610362713e-21, 5.350620312350495e-162, 2.052365582264702e-25, 1.5708380720308988e-19, 1.3450027495322362e-23, 1.3910639096258096e-24, 1.2802565884029713e-26]","[463.0725294635369, 619.6327260329873, 78.28009828472523, 6.099747918290277, 20.840805387491784, 38.12342448931424, 44.731484734128706]"
