Dataset,QDA accuracy,Dissim accuracy
iris,0.9416666666666668,0.9333333333333332
digits,0.9512748484615103,0.23011967241992423
wine,0.5898967276346895,0.3333333333333333
breast_cancer,0.952385849444673,0.5979020979020979
