Dataset,Fk,ck
iris,"[3099.2970578625614, 265.28240095220053, 42.80805552385702]","[11.233996202983564, 10.369842648907904, 10.369842648907904]"
digits,"[0.01141025916908666, 2.7721928186047906e-11, 5.666325390679106e-16, 3.756057580677494e-13, 8.079692475369958e-11, 1.5386182633370505e-13, 1.0342188463777389e-17, 1.1556992348430835e-09, 8.372934683201731e-17, 4.025723458507106e-13]","[69.25103369282647, 69.25103369282647, 67.71212183298589, 70.78994555266706, 69.25103369282647, 69.25103369282647, 69.25103369282647, 69.25103369282647, 67.71212183298589, 69.25103369282647]"
wine,"[130.84035437907164, 9.10083747874838, 4.79544336890381]","[7.561261010563843, 8.569429145305689, 6.049008808451075]"
breast_cancer,"[2.791462344395567e-06, 1.5130039224030483e-23]","[77.22320571017394, 129.6767039284053]"
