Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.062820895133084e-09, 1.563575391522078e-11, 8.742023893593903e-11, 1.5477759076962994e-11, 7.014818274737473e-11, 2.2378392473301018e-11, 1.562186884912491e-10, 5.401558491609401e-11, 1.4276897613934885e-11, 1.667994873654932e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.043342674647443e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.156514701710521e-23, 9.685335453345082e-23, 6.058690887809787e-22, 1.8319551408985948e-19, 1.291562677662952e-21, 2.6538940915481613e-21, 3.7282291538888396e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
