Dataset,QDA accuracy,Dissim accuracy
iris,0.9866666666666667,0.9733333333333334
digits,0.9566184649610678,0.9098998887652948
wine,0.9662921348314607,0.9662921348314607
breast_cancer,0.9614035087719298,0.8666666666666667
covtype,0.6512,0.6522
