Dataset,Fk,ck
iris,"[14776.134217444205, 844.2758330966034, 89.8565652251187]","[14.231388478307858, 13.136666287668794, 13.136666287668794]"
digits,"[1.5304570201835517, 3.4878088969436383e-12, 2.443034028554082e-19, 8.964645473539947e-15, 6.5004359720208434e-12, 4.219130966128171e-15, 4.569677663607292e-22, 6.716477143032149e-11, 4.809098156319095e-20, 4.371197591295252e-15]","[97.74888128419869, 97.74888128419869, 95.57668392232759, 99.92107864606976, 97.74888128419869, 97.74888128419869, 97.74888128419869, 97.74888128419869, 95.57668392232759, 97.74888128419869]"
wine,"[7151.162520771792, 988.0286226356416, 135.00131195885257]","[7.643403551183411, 8.662524024674532, 6.114722840946729]"
breast_cancer,"[9.019531119524359e-05, 2.4948865982523492e-33]","[114.93724621401893, 193.00782854806954]"
