Dataset,Fk,ck
iris,"[495.76588043130846, 66.88963753945687, 16.099939577381452]","[8.125828698045254, 7.500764952041774, 7.500764952041774]"
digits,"[1.0769653504827067e-05, 8.715517872591178e-11, 4.061490270091981e-13, 7.151234518514451e-12, 3.438291021977962e-10, 3.3981352660365025e-12, 5.087616846745609e-14, 1.685018335045188e-09, 8.730287073814839e-14, 6.477135263760411e-12]","[39.150228604252476, 39.150228604252476, 38.280223524157975, 40.02023368434697, 39.150228604252476, 39.150228604252476, 39.150228604252476, 39.150228604252476, 38.280223524157975, 39.150228604252476]"
wine,"[1.196824099801592, 0.07060752958126346, 0.14792916696853015]","[5.893658447311312, 6.679479573619486, 4.7149267578490495]"
breast_cancer,"[2.4042490139400605e-08, 8.441135077884635e-16]","[41.71663868930325, 70.0524687424149]"
