Dataset,Fk,ck
iris,"[404315.02867144876, 9780.773926367807, 361.49451475448717]","[21.468119393886735, 19.816725594356985, 19.816725594356985]"
digits,"[43087.47098993293, 7.54493472637392e-15, 2.9952346461739225e-27, 6.011157450480884e-19, 8.336354243366209e-15, 2.301488003112736e-19, 4.4578802306307984e-33, 9.554213533086672e-14, 3.5957778298460085e-29, 3.5839651189017776e-20]","[166.43125584525512, 166.43125584525512, 162.73278349313833, 170.12972819737186, 166.43125584525512, 166.43125584525512, 166.43125584525512, 166.43125584525512, 162.73278349313833, 166.43125584525512]"
wine,"[127608443.74529755, 90634662.19700588, 535737.6664258604]","[7.539966328274318, 8.545295172044227, 6.031973062619454]"
breast_cancer,"[0.010205965038003037, 4.664787650958487e-57]","[201.68890488078736, 338.6851421583033]"
