Dataset,Fk,ck
iris,"[164.5070516318379, 28.554071050337743, 8.146233789601641]","[6.499999999914492, 5.99999999992107, 5.99999999992107]"
digits,"[6.822800006237813e-08, 4.565206878403384e-11, 4.204960507034659e-12, 7.66847898366905e-12, 1.9652043549197196e-10, 5.288835272514375e-12, 1.9542197525606818e-12, 5.718862999730388e-10, 1.2274548769034833e-12, 8.945532535428217e-12]","[22.50000000840191, 22.50000000840191, 22.0000000082152, 23.000000008588618, 22.50000000840191, 22.50000000840191, 22.50000000840191, 22.50000000840191, 22.0000000082152, 22.50000000840191]"
wine,"[0.29837207639909336, 0.006428619511383726, 0.0299346854732103]","[7.499999999998579, 8.499999999998389, 5.999999999998862]"
breast_cancer,"[9.408064920319452e-10, 2.4714792180887717e-13]","[26.49999999522704, 44.49999999198503]"
