Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.062459571999619e-09, 1.5632494065802906e-11, 8.75096816965237e-11, 1.547743541102725e-11, 7.017262220012389e-11, 2.2385695856543837e-11, 1.5626916229977234e-10, 5.4000153925146345e-11, 1.4285532814783675e-11, 1.6674346141923456e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474362e-11, 1.305686379203113e-08]","[53.0, 89.0]"
covtype,"[9.156514701864455e-23, 9.68533545301434e-23, 6.058690887463367e-22, 1.831955140839863e-19, 1.2915626775536803e-21, 2.6538940913000214e-21, 3.728229154150938e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
