Dataset,Fk,ck
iris,"[30270.252070354465, 1426.3794033786019, 123.1876186807201]","[15.701171051542623, 14.49338866296242, 14.49338866296242]"
digits,"[15.04281078758375, 1.1743181539995592e-12, 6.4651241111542106e-21, 1.5762870805711745e-15, 2.079152518178304e-12, 7.942859196917862e-16, 3.0841349585877703e-24, 2.1432101834381212e-11, 4.574984317235816e-22, 5.250278491898558e-16]","[111.6566918551922, 111.6566918551922, 109.17543203618793, 114.13795167419647, 111.6566918551922, 111.6566918551922, 111.6566918551922, 111.6566918551922, 109.17543203618793, 111.6566918551922]"
wine,"[49638.079932179426, 9971.403727575356, 714.5831955819276]","[7.528448179108334, 8.532241269656113, 6.022758543286669]"
breast_cancer,"[0.0002569385302845777, 5.193700696394336e-37]","[133.5085272261259, 224.19356458726799]"
