Dataset,Fk,ck
iris,"[5050.46323034691, 2.7083887713435715, 0.4016006145064892]","[19.681948880922405, 19.681948880922405, 19.681948880922405]"
digits,"[0.0009023933706916665, 1.0625078127339083e-16, 1.5823246232810232e-21, 2.1150056522960433e-16, 5.343185225091972e-20, 1.8059159914062907e-14, 1.1461248068839759e-20, 5.796900283057838e-19, 8.544912050483024e-18, 3.63126896613308e-19]","[114.6057122622761, 117.8340421851571, 114.6057122622761, 117.8340421851571, 116.21987722371661, 117.8340421851571, 116.21987722371661, 114.6057122622761, 112.99154730083559, 116.21987722371661]"
wine,"[3.5772163429427275, 0.0021294572376631, 0.002977808131166138]","[19.11198037489633, 22.29731043737905, 15.130317796792928]"
breast_cancer,"[1.2845088935514027e-08, 5.10034509256191e-23]","[91.74906534586182, 153.27490916602798]"
