Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0622380226697543e-09, 1.564482224034792e-11, 8.743286872045454e-11, 1.5461868309422275e-11, 7.02157472327924e-11, 2.2370700125689512e-11, 1.562360448205916e-10, 5.3999884328257894e-11, 1.4280139402835323e-11, 1.6667074054065917e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474362e-11, 1.3056863792031086e-08]","[53.0, 89.0]"
covtype,"[9.156514701751509e-23, 9.685335453343981e-23, 6.05869088762179e-22, 1.8319551408810091e-19, 1.2915626775993455e-21, 2.6538940914792014e-21, 3.72822915383917e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
