Dataset,Fk,ck
iris,"[3514906.848756339, 14362.705869256903, 12269.509250321675]","[7.55630710790241, 6.611768719414609, 6.611768719414609]"
digits,"[395816564590.2312, 3.8629075970676634e-05, 7.620022249944422, 0.0001095759941166867, 11.055800580881348, 3.5079281041387045, 1.3687396658093071e-08, 1.209638965052484e-07, 2.27735655410461e-09, 0.006445142981319179]","[103.589244968062, 103.589244968062, 103.589244968062, 103.589244968062, 103.589244968062, 103.589244968062, 103.589244968062, 103.589244968062, 99.75260626554119, 103.589244968062]"
wine,"[nan, nan, nan]","[nan, nan, nan]"
breast_cancer,"[5112142.680797358, 3.933320300476016e-40]","[157.90052205948152, 261.52273966101626]"
