Dataset,Fk,ck
iris,"[5079.156501765137, 4.745103627407989, 0.016019063025483588]","[28.226979108372415, 28.226979108372415, 28.226979108372415]"
digits,"[0.0007927490307379215, 7.451712979401131e-19, 7.300758752389149e-20, 6.354380303743477e-19, 8.052128414732125e-24, 5.613957785712507e-17, 3.807454872665518e-21, 5.163929919499064e-23, 4.995294008743188e-25, 6.858754274355572e-21]","[163.76050489820415, 167.4405162442312, 163.76050489820415, 167.4405162442312, 165.60051057121768, 167.4405162442312, 165.60051057121768, 165.60051057121768, 160.08049355217707, 165.60051057121768]"
wine,"[2.3293508927406212, 9.387407453440306e-07, 0.0003317729860769887]","[26.23906056341207, 32.57262690630464, 21.715084604203092]"
breast_cancer,"[6.458292523029577e-09, 3.2958823396189007e-43]","[107.60371440595247, 180.69302985150512]"
