Dataset,Fk,ck
iris,"[nan, nan, nan]","[nan, nan, nan]"
digits,"[488518527179.0722, 386282304.03323734, 885300.8269469307, 3228.563803594502, 7780466942.258481, 198968.3093869279, 38309512.28362177, 2128.522451981508, 6745.637746716326, 1808116.5963523404]","[35.84439885823535, 35.84439885823535, 35.84439885823535, 35.84439885823535, 35.84439885823535, 35.84439885823535, 35.84439885823535, 35.84439885823535, 33.853043366111166, 35.84439885823535]"
wine,"[nan, nan, nan]","[nan, nan, nan]"
breast_cancer,"[12725857.195554338, 4.5920387369760255e-12]","[70.24586931524027, 117.07644885873378]"
