Fecha,TDV Control1,TDV Control2,TDV 45RDI-PB1,TDV 45RDI-PB2,TDV 45RDI-CC1,TDV 45RDI-CC2
2015-10-10,1,,2,2,2,1
2015-10-11,1,1,2,2,1,1
2015-10-12,1,1,2,2,2,2
2015-10-13,,,2,1,1,1
2015-10-14,1,1,1,1,1,1
2015-10-15,2,2,2,2,1,2
2015-10-16,2,2,2,3,2,2
2015-10-17,,,3,3,2,2
2015-10-18,1,1,2,2,3,1
2015-10-19,1,1,2,1,2,1
2015-10-20,2,2,2,1,1,1
2015-10-21,2,2,1,1,1,1
2015-10-22,2,2,2,2,1,2
2015-10-23,2,2,2,2,2,2
2015-10-24,1,1,2,2,2,1
2015-10-25,1,1,2,2,2,1
2015-10-26,2,2,2,2,2,1
2015-10-27,1,1,1,1,2,1
2015-10-28,2,2,1,1,1,2
2015-10-29,2,2,2,2,2,2
2015-10-30,2,2,2,2,2,2
2015-10-31,2,2,2,2,2,2
2015-11-01,2,1,3,2,3,1
2015-11-02,1,1,2,1,2,1
2015-11-03,1,1,1,1,1,1
2015-11-04,1,,1,1,1,1
2015-11-05,2,,1,2,1,2
2015-11-06,2,,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
