Classifier, Accuracy
LDA, 0.6636476517487938
Nearest Neighbors, 0.4814828262291326
Linear SVM, 0.6300224618841206
RBF SVM, 0.3333333333333333
Gaussian Process, 0.3333333333333333
Decision Tree, 0.5955287614278503
Random Forest, 0.3887578936429517
Neural Net, 0.49044730946745513
AdaBoost, 0.60908214019929
Naive Bayes, 0.5219290235576767
QDA, 0.5253051755539992
