Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0609989889685217e-09, 1.5624500690680777e-11, 8.745179558010382e-11, 1.547822296686424e-11, 7.017954846609767e-11, 2.23973442410529e-11, 1.563031230142051e-10, 5.407135578073939e-11, 1.4272097353378432e-11, 1.6671556083763e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474362e-11, 1.3056863792031179e-08]","[53.0, 89.0]"
covtype,"[9.156514701662441e-23, 9.685335453372129e-23, 6.058690888134122e-22, 1.831955140775417e-19, 1.2915626775960235e-21, 2.6538940915740707e-21, 3.7282291538924423e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
