Dataset,QDA accuracy,Dissim accuracy
iris,0.9866666666666667,0.9866666666666667
digits,0.9563154798677769,0.9585129702441412
wine,0.9626984126984127,0.9765873015873017
breast_cancer,0.9538842626752397,0.9299831348160641
covtype,0.5039627933459344,0.3862857196292429
