Classifier, Accuracy
LDA, 0.7123076923076923
Nearest Neighbors, 0.7569230769230769
Linear SVM, 0.7726923076923077
RBF SVM, 0.715
Gaussian Process, 0.7784615384615384
Decision Tree, 0.7169230769230769
Random Forest, 0.6523076923076923
Neural Net, 0.7761538461538462
AdaBoost, 0.7676923076923077
Naive Bayes, 0.6092307692307692
QDA, 0.615
