Classifier, Accuracy
LDA, 0.7162273253680133
Nearest Neighbors, 0.6737740392213398
Linear SVM, 0.7000002952213689
RBF SVM, 0.5083988698583163
Gaussian Process, 0.6089008023726351
Decision Tree, 0.7165694231285887
Random Forest, 0.7243111911687975
Neural Net, 0.7610652773587141
AdaBoost, 0.7236626145819605
Naive Bayes, 0.7052623999426929
QDA, 0.71340626901053
