,40Z0M0,80Z0M0,120Z0M0,40Z4M0,80Z4M0,120Z4M0,40Z8M0,80Z8M0,120Z8M0
CNN,0.6854027047024297,0.6973220041458624,0.7074923482434657,0.6977618711248056,0.6591549843169954,0.6518023780663554,0.6631104993861698,0.6207345144923364,0.7105430919401207
LDA,0.6655345285018054,0.6459436503831469,0.6178662370210772,0.7089572318032883,0.6440737047898658,0.6770842680498093,0.7024490077473676,0.6804658091034317,0.6843634025095978
Nearest Neighbors,0.7111922465517814,0.7110480712345956,0.711672290959939,0.7157086735291193,0.7256155335264584,0.72130522263928,0.702089065007928,0.7187961086922631,0.7252085713015535
Linear SVM,0.7044081939864162,0.7110935322896661,0.7205133417772921,0.6993408276883977,0.7260663368590498,0.715137816374357,0.6897473147287366,0.7166656113085397,0.7167237448633997
Random Forest,0.7345431934294825,0.7394696243050835,0.7383515051785549,0.7047334479791285,0.7390910965996634,0.7219477197456575,0.6958287680892075,0.7067641374653721,0.7083606810526742
BEST,0.7345431934294825,0.7394696243050835,0.7383515051785549,0.7157086735291193,0.7390910965996634,0.7219477197456575,0.7024490077473676,0.7187961086922631,0.7252085713015535
