,40Z0MTrain20140,80Z0MTrain20140,120Z0MTrain20140,40Z4MTrain20140,80Z4MTrain20140,120Z4MTrain20140,40Z8MTrain20140,80Z8MTrain20140,120Z8MTrain20140
CNN,0.682267256357029,0.6459653271828191,0.6136291717468619,0.4886646646934299,0.6107099695439159,0.5109729936592778,0.3675724808731504,0.4182729719472873,0.4839207259194184
LDA,0.6244853950373506,0.6074247766196529,0.6096159315378976,0.44182865704497076,0.6449638559217857,0.3613292003008661,0.5297418063463782,0.4086738546582939,0.36001430779118354
Nearest Neighbors,0.6549113457465708,0.6543074810122714,0.6543074810122714,0.567341893604861,0.6617439802822286,0.6295905921398034,0.5144050618130332,0.5751495151064823,0.5991275520141291
Linear SVM,0.697867304387966,0.7036370035719873,0.7004351691824752,0.49694410006308337,0.7163511472004532,0.6349934453507832,0.4813341026037512,0.4897939390704988,0.5461775493457438
Random Forest,0.6737441027542754,0.6876240400084476,0.6796386401816874,0.4684018412771394,0.660546342783979,0.5862249394139678,0.3961252877636969,0.45755003678722744,0.5451923848842583
BEST,0.697867304387966,0.7036370035719873,0.7004351691824752,0.567341893604861,0.7163511472004532,0.6349934453507832,0.5297418063463782,0.5751495151064823,0.5991275520141291
