,raw0,raw3,raw6,raw9,80ZIM4Meteo0,80ZIM4Meteo3,80ZIM4Meteo6,80ZIM4Meteo9,15ZIM4Meteo0,15ZIM4Meteo3,15ZIM4Meteo6,15ZIM4Meteo9
CNN,0.4863182818335929,0.5201866048095106,0.3786492020230783,0.4410993666055009,0.6493919461187707,0.6777181137549503,0.612390701298737,0.5525485351428452,0.6940472122512479,0.6335291838232245,0.6506588180841232,0.6659600797331089
LDA,0.4458726652715039,0.47262444222173333,0.4808374294123055,0.5437479803481794,0.6960863672648775,0.6804230814647458,0.5934570485211045,0.46814253486831503,0.6748977342827867,0.6938776029772379,0.6717584065619313,0.6493733252167893
Nearest Neighbors,0.6924165071489297,0.6859872662293521,0.634900664704093,0.6271146001339003,0.6922378270500423,0.6990214810432386,0.6686612553050496,0.6746119973661019,0.7103183487233284,0.6957209500193412,0.6533821740670259,0.6376070816846604
Linear SVM,0.6062235483528878,0.637782605231661,0.6312731971311688,0.6336607957719277,0.6523211392869245,0.6683456875239929,0.6771306979178661,0.6697552106024346,0.6298121481519569,0.6532051824325859,0.6892843222738776,0.6504795226358079
Random Forest,0.6582935773832711,0.6010475690062037,0.5248122701831971,0.4827338288715454,0.6631553721205724,0.6655151402073272,0.6143456158425861,0.5780437736359532,0.602625160276495,0.5150099875601029,0.47367723721115773,0.43461595617066223
BEST,0.6924165071489297,0.6859872662293521,0.634900664704093,0.6336607957719277,0.6960863672648775,0.6990214810432386,0.6771306979178661,0.6746119973661019,0.7103183487233284,0.6957209500193412,0.6892843222738776,0.6659600797331089
