,40Z0MTrain20140,80Z0MTrain20140,120Z0MTrain20140,40Z4MTrain20140,80Z4MTrain20140,120Z4MTrain20140,40Z8MTrain20140,80Z8MTrain20140,120Z8MTrain20140
CNN,0.544007573387848,0.592861324726968,0.6044065648496119,0.49212231545878526,0.5061401771403297,0.5534110653892674,0.3756256520706202,0.5228801513271394,0.4071451788414522
LDA,0.5761478218213493,0.5454011299053693,0.5645306205929974,0.39044120278470845,0.5982463145332396,0.31636014469842105,0.45995471688349565,0.4303273066698277,0.4038983162507441
Nearest Neighbors,0.6276818519013024,0.6271966505427385,0.6304328964974312,0.5986249628329854,0.6438630816747651,0.6113068157889204,0.5329836030626814,0.6044577496907992,0.6062189511733879
Linear SVM,0.6508207749427141,0.6550321343073359,0.6510566259726086,0.5427099532931293,0.6713735276360527,0.6352443770323212,0.5209484157342483,0.5233024965757833,0.5494682506687601
Random Forest,0.651138570934702,0.6449911168286266,0.6424617911839876,0.5334834638160085,0.6468088114704104,0.6530061497039892,0.5050839624744805,0.5229352734638026,0.6039222423516454
BEST,0.651138570934702,0.6550321343073359,0.6510566259726086,0.5986249628329854,0.6713735276360527,0.6530061497039892,0.5329836030626814,0.6044577496907992,0.6062189511733879
