Fecha,P14 Control-2L,P15 Control-2L,P6 45SDI-2L,P11 45SDI-2L
2016-09-23,1.0,1.0,1.0,2.0
2016-09-24,1.0,1.0,1.0,2.0
2016-09-25,1.0,1.0,1.0,2.0
2016-09-26,1.0,1.0,1.0,2.0
2016-09-27,1.0,1.0,1.0,2.0
2016-09-28,1.0,1.0,1.0,2.0
2016-09-29,1.0,1.0,1.0,2.0
2016-09-30,1.0,1.0,1.0,2.0
2016-10-01,1.0,1.0,1.0,1.0
2016-10-02,1.0,1.0,1.0,1.0
2016-10-03,1.0,1.0,1.0,1.0
2016-10-04,1.0,1.0,1.0,1.0
2016-10-05,1.0,1.0,1.0,1.0
2016-10-06,1.0,1.0,1.0,1.0
2016-10-07,1.0,1.0,1.0,1.0
2016-10-08,1.0,1.0,1.0,1.0
2016-10-09,1.0,1.0,1.0,2.0
2016-10-10,1.0,1.0,1.0,2.0
2016-10-11,1.0,1.0,1.0,1.0
2016-10-12,1.0,1.0,1.0,1.0
2016-10-13,1.0,1.0,1.0,1.0
2016-10-14,1.0,1.0,1.0,2.0
2016-10-15,1.0,1.0,1.0,2.0
2016-10-16,1.0,1.0,1.0,2.0
2016-10-17,1.0,1.0,1.0,2.0
2016-10-18,1.0,1.0,1.0,2.0
2016-10-19,1.0,1.0,1.0,2.0
2016-10-20,1.0,1.0,1.0,2.0
2016-10-21,1.0,1.0,1.0,2.0
2016-10-22,1.0,1.0,1.0,1.0
2016-10-23,1.0,1.0,1.0,1.0
2016-10-24,1.0,1.0,1.0,1.0
2016-10-25,1.0,1.0,1.0,1.0
2016-10-26,1.0,1.0,1.0,2.0
2016-10-27,1.0,1.0,1.0,2.0
2016-10-28,1.0,1.0,1.0,2.0
2016-10-29,1.0,1.0,1.0,2.0
2016-10-30,1.0,1.0,1.0,2.0
2016-10-31,1.0,1.0,1.0,2.0
2016-11-01,1.0,1.0,1.0,2.0
2016-11-02,1.0,1.0,1.0,2.0
2016-11-03,1.0,1.0,1.0,2.0
2016-11-04,1.0,1.0,1.0,2.0
2016-11-05,,,,
2016-11-06,,,,
2016-11-07,,,,
2016-11-08,,,,
2016-11-09,,,,
2016-11-10,,,,
2016-11-11,,,,
2016-11-12,,,,
2016-11-13,,,,
2016-11-14,,,,
2016-11-15,,,,
2016-11-16,,,,
