Fecha,DDA,Precipitación,ETo,Riego Control-2L,Riego 45SDI-2L,
2016-04-01,92,0,4.4,15.24,15.68,
2016-04-02,93,0,4.3,15.24,15.68,
2016-04-03,94,0.594,3.1,15.24,15.68,
2016-04-04,95,43.36,1.1,15.24,15.68,
2016-04-05,96,0,3.7,15.24,15.68,
2016-04-06,97,0,4.2,15.24,15.68,
2016-04-07,98,0,4.6,15.24,15.68,
2016-04-08,99,0,5,15.24,15.68,
2016-04-09,100,0,4.6,15.24,15.68,
2016-04-10,101,0.198,3.4,15.24,15.68,
2016-04-11,102,4.158,2.9,15.24,15.68,
2016-04-12,103,1.98,2.7,15.23,14.34,
2016-04-13,104,4.95,3.2,15.23,14.34,
2016-04-14,105,0,4.5,15.23,14.34,
2016-04-15,106,1.98,3.6,15.23,14.34,
2016-04-16,107,7.524,2.6,15.23,14.34,
2016-04-17,108,0.396,3.3,15.23,14.34,
2016-04-18,109,0,4.6,15.23,14.34,
2016-04-19,110,6.534,1.1,12.41,10.71,
2016-04-20,111,9.31,2.3,12.41,10.71,
2016-04-21,112,0,3.5,,,
2016-04-22,113,0,4.1,,,
2016-04-23,114,0,3.7,,,
2016-04-24,115,0,5,,,
2016-04-25,116,0,5.7,,,
2016-04-26,117,0,5.5,13.00,13.91,
2016-04-27,118,0,6,13.00,13.91,
2016-04-28,119,0,4.9,13.00,13.91,
2016-04-29,120,0,3.3,13.00,13.91,
2016-04-30,121,0.198,5.1,13.00,13.91,
2016-05-01,122,0,7.9,13.00,13.91,
2016-05-02,123,0,7.5,13.00,13.91,
2016-05-03,124,0,7.9,13.00,13.91,
2016-05-04,125,0,4.1,13.00,13.91,
2016-05-05,126,0.198,3.4,,,
2016-05-06,127,18.81,3,,,
2016-05-07,128,3.168,3.2,,,
2016-05-08,129,53.66,3,,,
2016-05-09,130,18.41,3.1,,,
2016-05-10,131,13.46,2,,,
2016-05-11,132,18.22,2.1,,,
2016-05-12,133,12.28,3.2,,,
2016-05-13,134,15.05,3.5,,,
2016-05-14,135,0.198,4,,,
2016-05-15,136,0,5.2,,,
2016-05-16,137,0,5.8,,,
2016-05-17,138,0,5.7,,,
2016-05-18,139,0,6,,,
2016-05-19,140,0,5.8,,,
2016-05-20,141,0,6.3,,,
2016-05-21,142,0,6.7,19.80,20.92,
2016-05-22,143,0,5.8,,,
2016-05-23,144,0,6.3,,,
2016-05-24,145,0,5.9,,,
2016-05-25,146,0,6.1,,,
2016-05-26,147,0,6,,,
2016-05-27,148,0,5.9,,,
2016-05-28,149,8.51,4.5,,,
2016-05-29,150,0,5.5,,,
2016-05-30,151,0,5.7,,,
2016-05-31,152,0,6.4,,,
2016-06-01,153,0,6.9,,,
2016-06-02,154,0,6.8,,,
2016-06-03,155,0,5.8,,,
2016-06-04,156,0,5.9,18.94,9.02,
2016-06-05,157,0,6.6,18.94,9.02,
2016-06-06,158,0,6.4,18.94,9.02,
2016-06-07,159,0,7.8,18.21,8.09,
2016-06-08,160,0,7,18.21,8.09,
2016-06-09,161,0,7.8,18.21,8.09,
2016-06-10,162,0,6.9,18.21,8.09,
2016-06-11,163,0,6.8,18.21,8.09,
2016-06-12,164,0,7.4,18.21,8.09,
2016-06-13,165,0,7.8,18.21,8.09,
2016-06-14,166,0,7.7,20.87,7.80,
2016-06-15,167,0,6.2,20.87,7.80,
2016-06-16,168,0,5.4,20.87,7.80,
2016-06-17,169,0,6.2,20.87,7.80,
2016-06-18,170,0,6.8,20.87,7.80,
2016-06-19,171,0,7.3,20.87,7.80,
2016-06-20,172,0,8.1,20.87,7.80,
2016-06-21,173,0,8,14.93,6.77,
2016-06-22,174,0,7.4,14.93,6.77,
2016-06-23,175,0,6.8,14.93,6.77,
2016-06-24,176,0,7.7,19.15,6.77,
2016-06-25,177,0,7.8,19.15,6.77,
2016-06-26,178,0,6.6,19.15,6.77,
2016-06-27,179,0,8.1,19.15,6.77,
2016-06-28,180,0,5,21.03,6.50,
2016-06-29,181,0,6.6,21.03,6.50,
2016-06-30,182,0,7.1,21.03,6.50,
2016-07-01,183,0,7.8,21.03,6.50,
2016-07-02,184,0,6.9,21.03,6.50,
2016-07-03,185,0,8.7,21.03,6.50,
2016-07-04,186,0,6.5,21.03,6.50,
2016-07-05,187,0,6.6,,,
2016-07-06,188,0,6.6,18.91,7.74,
2016-07-07,189,0,3.6,18.91,7.74,
2016-07-08,190,0,7.4,18.91,7.74,
2016-07-09,191,0,8.6,18.91,7.74,
