index,area k-0,max k-0,ETo k-0,1,backwards window,validation error,calibration error,area k-1,max k-1,ETo k-1,area k-2,max k-2,ETo k-2,area k-3,max k-3,ETo k-3,area k-4,max k-4,ETo k-4,area k-5,max k-5,ETo k-5,area k-6,max k-6,ETo k-6,area k-7,max k-7,ETo k-7,area k-8,max k-8,ETo k-8,area k-9,max k-9,ETo k-9,area k-10,max k-10,ETo k-10,area k-11,max k-11,ETo k-11,area k-12,max k-12,ETo k-12,area k-13,max k-13,ETo k-13,area k-14,max k-14,ETo k-14
0,-0.051194909953091686,-0.013958072826159029,-0.0007552375391299826,2.0627250888483886,1,0.40148254826879515,0.30484520812055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.05213499374425845,-0.005817318761202464,-0.009242950502933112,2.0171043643067,2,0.3881432767378996,0.2742311894606098,-0.04572664751996025,-0.008234632468971617,0.010945715829270397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.04412957220355951,-0.0073823257837934975,-0.011966558037575403,2.033596640186012,3,0.3693879013293559,0.25396085675284735,-0.0422464594482681,-0.004652353101290807,0.012850905248093625,-0.050998937948295076,-0.0015892183936914717,-0.0014700249315824365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.039011410999026636,-0.006663662396921136,-0.014500044363379372,2.0355194307108704,4,0.3616278050358299,0.23919946655492183,-0.03608667436332336,-0.006887287612339817,0.01258243917471813,-0.046470839954586576,0.0003079196210371976,-0.0025250688403360977,-0.046003547254558075,0.00011794451902147687,0.0021583381942844593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.023791586035909806,-0.008027864791417594,-0.015423188446924918,2.1212813697011725,5,0.3613990821186558,0.23201871090531664,-0.036156031922323084,-0.006469393395119538,0.023192600202671443,-0.046284760212441545,-0.0020176296404372795,-0.0003135247107248773,-0.040344878106769566,-0.002556623519921253,0.011234092077573976,-0.030314598518362657,0.006188213719389601,-0.02645425956178382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.023235167132346468,-0.008013347894780545,-0.00897148014869753,2.159142425385866,6,0.3927146273886494,0.22594972322685805,-0.020750318357764613,-0.007174094246094158,0.021511221129733915,-0.04519484407837909,-0.0013507204686277474,0.007537437254208079,-0.0391065310946615,-0.004240226675590791,0.010057729615041477,-0.02687642582217964,0.005093419991389708,-0.015018186281118506,-0.031289748312643306,0.002911546670883225,-0.025320982581826357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.021556425637893395,-0.00927249089342616,-0.00679659027567292,2.16926675012008,7,0.4209573369512585,0.22041348796895738,-0.02158108419851862,-0.006385176199504405,0.02200718463343776,-0.02904702455239838,-0.001729477314674474,0.005849429863903799,-0.03760477645064608,-0.0029868849161387018,0.01013433476640957,-0.025038595113285655,0.00326703575189162,-0.015708396161174587,-0.028546840196221335,0.003260983762786218,-0.023238259330183197,-0.03447852665130158,0.0012174347604309577,-0.0033452274931322634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.021341490408867736,-0.008935934299520804,-0.005535614371952269,2.168639219795196,8,0.42977840721187816,0.21921369351440592,-0.021155324574927387,-0.006363388525222571,0.020422614502822074,-0.02865134626044902,-0.0020466800681888317,0.008799592121106078,-0.030969487031637596,-0.0037384995708938107,0.009372412169298738,-0.025530889895184677,0.003036998967590132,-0.012062366217045373,-0.029429566248649924,0.0028504275493501825,-0.022249169502030097,-0.03171752616872166,-0.0007317807068348281,-0.0029124689338714815,-0.01332922726535232,0.00341563049372571,-0.0070222963592474485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.027771978080897153,-0.00872440031104621,-0.005692257629991815,2.142394556472155,9,0.44858061861310955,0.21728368829127173,-0.021813574609395148,-0.005697352016016788,0.021154539248714244,-0.02729717963420708,-0.0020016687656777554,0.008226586720361695,-0.02986537743876272,-0.004256849561605103,0.013806739093690013,-0.00968737436257383,0.002321371868660327,-0.013330388923247227,-0.02895815047597594,0.002455334138391274,-0.01614497696875361,-0.031891264699688726,-0.0010951561001544263,-0.0017410794164458565,-0.009467552177527816,0.0014664153373709077,-0.002805632785833012,-0.02569365851979491,0.0032008849056195388,-0.013443587863127604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.028621520779728904,-0.00911369854044096,-0.001594029781538664,2.102017113789401,10,0.0,0.21558878126837328,-0.027789056606511764,-0.0054544967395177,0.02019108419971899,-0.029083700472958718,-0.0013646286962108456,0.006680247362127134,-0.02825630489398856,-0.0038191257510644047,0.015105147955989828,-0.006615697229665374,0.00205753003572659,-0.012045922542071263,-0.017494305585307846,0.002330006455692313,-0.015381395522958918,-0.03049543552545897,-0.0011373886940140646,0.0016591788439594968,-0.00930446568390561,0.0017109479170228092,-0.0020710625802928817,-0.02783402549146302,0.00310509926410453,-0.006024426122150928,-0.016640950533934884,-0.0006118938998526113,-0.014295742165755243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
