,LTP_1,LTP_2,LTP_3,LTP_1_std,LTP_2_std,LTP_3_std,DIFF_1,DIFF_2,DIFF_3,DIFF_1_std,DIFF_2_std,DIFF_3_std
2.4000000000000004,-0.958898541961732,-0.30302289194668225,0.5710113565485392,0.28284761568650574,1.280182521218832,1.282662977887558,-0.0002229925302062375,-0.0003305377747914355,-0.0004931756239029552,0.0013417933661670227,0.004394434460158942,0.0033570245336075537
2.5,-0.9599198549320547,-0.30545121866161573,0.5678134037009274,0.28284925117796783,1.2706383945865578,1.2929402959256602,-0.00018649868728350474,-0.00033490357629309446,-0.0004930728243883674,0.0013200274687358493,0.004398149154629159,0.003325686705395643
2.6,-0.9609961259586868,-0.30799859024505083,0.5646373246618616,0.2827587192771148,1.260837762697675,1.3029384001997968,-0.00014716002867793835,-0.00033942393811399625,-0.0004953693826840778,0.001301904146596476,0.00439483847599696,0.003290535232724112
2.7,-0.9621191886602175,-0.3103738426145811,0.561398437838693,0.2826091916967291,1.2500685176929305,1.3130573888133243,-0.00010336129564984188,-0.0003427502018023383,-0.0004972054103441793,0.0012829435574259408,0.004381813795462168,0.0032475967675996216
2.8000000000000003,-0.9632109689258289,-0.3128213919739504,0.5580710261813092,0.2824461797358502,1.238910375379834,1.323469293784746,-5.5177096656149485e-05,-0.0003445528836741789,-0.0004950643287407714,0.0012627890819496867,0.004361372308629068,0.003197720825461151
2.9000000000000004,-0.9642646462688741,-0.31553061296591206,0.5547169249881303,0.28229763101114874,1.2273113727438627,1.3344236416733133,-3.5610986303310205e-06,-0.0003444761843056321,-0.0004892986180707222,0.0012458508651491237,0.004333747107690359,0.00314028357641426
3.0,-0.9652959850757981,-0.3183607708184768,0.5513109194548071,0.2821938144525121,1.2156661422624457,1.3457155948557662,5.150500160243809e-05,-0.0003420597459898832,-0.0004820548274581905,0.0012335942767441937,0.004291293710047512,0.003066223891622249
3.1,-0.9662903688121556,-0.3212562904614701,0.5479199648310975,0.2821417493222798,1.2062197026386896,1.3570781284639486,0.00011073229508608894,-0.0003370209073295416,-0.0004742700309679467,0.0012245628828571704,0.0042402674040984065,0.002981553489515998
3.2,-0.9672412287272318,-0.32422965145180405,0.5445876386995601,0.2821008082999314,1.1998054843894639,1.3679521743638146,0.00017449593984211254,-0.0003297976136932882,-0.0004668626751771968,0.0012173306136450991,0.004182601262039365,0.002888336457077558
3.3000000000000003,-0.96813517684146,-0.32713212157391275,0.5410775201248303,0.2821687744636286,1.194066110891489,1.378840109837262,0.00024288183876077513,-0.0003213558805047508,-0.0004587215060112565,0.001211852053961806,0.004108263947073508,0.002784522257853619
3.4000000000000004,-0.9689564671118173,-0.3298475197400048,0.5374396297111955,0.28222737839459966,1.1891528939822276,1.389720316418912,0.00031647056272097893,-0.0003123772558750081,-0.0004498919742201377,0.0012081935276478382,0.0040266678259133605,0.0026750934504638792
3.5,-0.9697114302813592,-0.33243587367155236,0.5338629792520201,0.2822364393463754,1.1845521606719656,1.4005689363913705,0.00039586650966620934,-0.0003035951161200956,-0.0004414887029040435,0.0012042429134017129,0.003948151649723099,0.002570849599503272
3.6,-0.9703241716699472,-0.33487038279391024,0.5305041739843438,0.2822427655074291,1.1810918307116467,1.4111884414892555,0.00048168463582617753,-0.00029628495626415197,-0.00043554888382392796,0.001198087729575954,0.0038698270033680217,0.0024817258492140066
3.7,-0.9707458226864575,-0.33713658037409305,0.5274084880804188,0.28221419786646895,1.1810795972965338,1.4215242854873409,0.0005738013290999354,-0.00028771776974633085,-0.0004309495575076939,0.0011919618802706251,0.003793078711723706,0.002405358541000337
3.8000000000000003,-0.970919784780288,-0.3392833888451689,0.5244791778876653,0.2822568221235135,1.1811898552854057,1.4316457637868838,0.0006712567606378956,-0.00028031014427600654,-0.0004277139611022305,0.001187086191450706,0.003725909367607987,0.0023395286484622214
3.9000000000000004,-0.9707428756739431,-0.34150423441259525,0.5217190502128062,0.28232104995938145,1.182846008324754,1.4413671863511692,0.0007739296757891029,-0.0002704412737979986,-0.0004268076516109427,0.0011817319568532048,0.0036666628350500905,0.0022881158219929688
4.0,-0.9701302644609885,-0.3436325659317374,0.5191698354258095,0.28264033556467116,1.1858753709441194,1.4508306461392013,0.0008808851048360181,-0.000256761541632746,-0.0004274651545049276,0.0011781872548234757,0.003612197816054601,0.002248985515113713
4.1000000000000005,-0.9689763170201466,-0.34556394024643194,0.5167944623325154,0.28310615194888056,1.1889265781682656,1.460330602259888,0.000993305793033086,-0.00023953621659939092,-0.0004307864398750988,0.0011733119580441245,0.0035555392602516674,0.0022328657485667326
4.2,-0.9670934332638647,-0.34761052730824205,0.514560725341143,0.2835083307809327,1.190884297758234,1.4697042698646887,0.0011108313535571762,-0.00021956633969616432,-0.0004388388373553783,0.0011668659900840146,0.00349745055015024,0.0022493510582855384
4.3,-0.964320060004266,-0.349815062951907,0.5124421520894092,0.28387726051960416,1.192642770808165,1.4778650956138477,0.0012329831651638028,-0.00019632357052860077,-0.0004520814314235819,0.0011598501119662009,0.003429731114978882,0.0022995914568701968
4.4,-0.9605598853390412,-0.3519433243213527,0.510460485776178,0.2843445360574387,1.1946867453773427,1.4845452253688052,0.0013597918057218115,-0.00016793459951380664,-0.00047042920732982737,0.0011541674481859202,0.003357043802943494,0.0023673278154270924
4.5,-0.9558295689819509,-0.3539945771349479,0.5080745943798803,0.2852159420302923,1.1972295244554696,1.4903502447876524,0.0014918627093868627,-0.0001343446820815051,-0.0004937933252437186,0.001150070630321816,0.00332544842852737,0.0024670927838014033
4.6000000000000005,-0.9501735136453975,-0.35605408718461845,0.5051053386979101,0.28631114521692125,1.2013006753397193,1.494513795696075,0.0016291351513218009,-9.55832632123832e-05,-0.0005226570290274285,0.0011465513818164769,0.003330154389502066,0.002613170350694031
4.7,-0.9435378210448907,-0.35778456941181275,0.5022758945801651,0.28760132726267557,1.2043302110473484,1.4978176940799635,0.001770603770588221,-5.4957961335605436e-05,-0.0005572145366306981,0.0011423282308070705,0.00335941670461778,0.0027852959278359076
4.800000000000001,-0.9358614636033652,-0.3593099873586789,0.5003046046496529,0.28904471050772523,1.20716134533379,1.500224075490706,0.0019150961061539672,-1.2117761901601659e-05,-0.0005962967183026379,0.00113985872526188,0.003433543100423504,0.0029685804317772613
