,Fecha,estado real,estado estimado,error,probabilidad estado 1,probabilidad estado 2,probabilidad estado 3
LTP Control_1_1,2019-04-30,1.0,1.0,0.0,0.809084125249214,0.1908308641787454,8.501057204055803e-05
LTP Control_1_1,2019-05-01,1.0,1.0,0.0,0.7825509580426336,0.21731048383524817,0.00013855812211804235
LTP Control_1_1,2019-05-02,1.0,1.0,0.0,0.7414351344604367,0.25838489812327786,0.0001799674162853249
LTP Control_1_1,2019-05-03,1.0,1.0,0.0,0.6735159203900127,0.32569643715952606,0.0007876424504611513
LTP Control_1_1,2019-05-04,1.0,1.0,0.0,0.6024238544570596,0.39708083612899836,0.0004953094139421022
LTP Control_1_1,2019-05-05,1.0,1.0,0.0,0.7077073029423863,0.2920993938395999,0.0001933032180137971
LTP Control_1_1,2019-05-06,1.0,1.0,0.0,0.7576183015081197,0.24226489893734335,0.00011679955453708955
LTP Control_1_1,2019-05-07,2.0,1.0,1.0,0.7233054481911878,0.2764588284434526,0.00023572336535964154
LTP Control_1_1,2019-05-14,1.0,1.0,0.0,0.8106070327644707,0.18932808035797755,6.488687755185776e-05
LTP Control_1_1,2019-05-15,1.0,1.0,0.0,0.8068040758143886,0.1930991011828577,9.682300275374671e-05
LTP Control_1_1,2019-05-16,1.0,1.0,0.0,0.7650046569206909,0.23477724198390063,0.00021810109540839603
LTP Control_1_1,2019-05-17,1.0,1.0,0.0,0.7554106938104905,0.2444870122267666,0.00010229396274285688
LTP Control_1_1,2019-05-18,1.0,1.0,0.0,0.7825446243415143,0.21735551951031148,9.985614817422471e-05
LTP Control_1_1,2019-05-19,1.0,1.0,0.0,0.8085376894506043,0.19131989582333173,0.00014241472606392689
LTP Control_1_1,2019-05-20,1.0,1.0,0.0,0.5823885001127702,0.41682014170068404,0.0007913581865457109
LTP Control_1_1,2019-05-24,1.0,1.0,0.0,0.7252427961471541,0.2745165709170086,0.00024063293583731596
LTP Control_1_1,2019-05-25,1.0,1.0,0.0,0.739084124802062,0.260753453844452,0.00016242135348609266
LTP Control_1_1,2019-05-26,1.0,1.0,0.0,0.7997580863437547,0.20013617425329971,0.00010573940294557401
LTP Control_1_1,2019-05-27,1.0,1.0,0.0,0.7640595359051243,0.23575197018945124,0.00018849390542443343
LTP Control_1_1,2019-05-28,1.0,1.0,0.0,0.6371241236860237,0.36233558314851383,0.0005402931654625262
LTP Control_1_1,2019-05-29,1.0,1.0,0.0,0.7823049228632014,0.21762006215390828,7.501498289020695e-05
LTP Control_1_1,2019-05-30,1.0,1.0,0.0,0.7556982173873185,0.2441803695639438,0.00012141304873780246
LTP Control_1_1,2019-05-31,1.0,1.0,0.0,0.7906241002764768,0.20928400584382112,9.189387970190766e-05
LTP Control_1_1,2019-06-01,1.0,1.0,0.0,0.7969822446966647,0.20291363782885558,0.0001041174744796818
