Estimador,Ecuación,Factor de olvido,Tamaño de ventana,Control_1_1 en validación,Control_1_1 en calibración,Control_2_1 en validación,Control_2_1 en calibración,RDI45_1_2 en validación,RDI45_2_1 en validación,RDI45_2_1 en calibración,RDI30_2_1 en validación,RDI30_3_2 en validación,RDI30_3_2 en calibración,media,media alta variabilidad
LTP diff_R_Neta_Avg_norm_0.8_5,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,5,,-1.17E-16,0.069108874,0.200629551,0.239381051,0.519966144,0.784686503,0.69653974,0.586352304,0.748577948,0.427249124,0.667224528
LTP diff_1h_norm_0.8_1,(LTP(sign_change(R_Neta_Avg))-LTP(sign_change(R_Neta_Avg)+1h))/var(LTP),0.8,1,-0.167770609,-0.25794568,-0.093800067,0.078977072,0.249979193,0.56015425,0.800736358,0.705872183,0.635444314,0.630608461,0.367780676,0.666563113
LTP diff_R_Neta_Avg_norm_0.99_4,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.99,4,-0.163290814,-7.59E-17,0.05267734,0.163683778,0.242082643,0.511899801,0.780983124,0.684821214,0.586660829,0.765021874,0.420870067,0.665877368
LTP diff_R_Neta_Avg_norm_0.95_4,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.95,4,-0.17824374,-4.90E-17,0.054023363,0.1682489,0.24049923,0.509044222,0.779665971,0.685331742,0.586741933,0.760172783,0.420414238,0.66419133
LTP diff_R_Neta_Avg_norm_0.9_4,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.9,4,-0.196809913,-8.44E-17,0.055773427,0.17370087,0.237396239,0.504550801,0.777601719,0.685390808,0.584821547,0.751584774,0.41898002,0.66078993
LTP diff_R_Neta_Avg_norm_0.8_4,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,4,-0.231829437,-1.67E-16,0.059390913,0.183098807,0.226844755,0.492358658,0.77180732,0.683174962,0.573458636,0.725153484,0.412809726,0.649190612
LTP diff_R_Neta_Avg_norm_0.99_3,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.99,3,-0.214153073,-7.42E-17,0.048825244,0.153164286,0.209339769,0.456600755,0.7670462,0.664580343,0.576715328,0.738116045,0.401598663,0.640611734
LTP diff_R_Neta_Avg_norm_0.95_3,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.95,3,-0.22361191,-9.26E-18,0.050083439,0.158614964,0.209075108,0.456601265,0.765921813,0.665045644,0.574297151,0.731550217,0.401243289,0.638683218
LTP diff_R_Neta_Avg_norm_0.9_3,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.9,3,-0.235070993,8.31E-17,0.051670352,0.165068763,0.207845104,0.456095152,0.764174434,0.665238962,0.569980721,0.721630308,0.400189311,0.635423915
LTP diff_R_Neta_Avg_norm_0.8_3,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,3,-0.255866089,-2.75E-17,0.054828397,0.176252288,0.20181539,0.45313379,0.759319701,0.664043115,0.556541352,0.695477037,0.395712341,0.625702999
LTP Area_0.8_100,mean(LTP),0.8,100,,,-4.90E-17,8.87E-17,,0.828077704,0.971588254,-0.11261239,0.588893419,0.820570317,0.344057478,0.619303461
LTP Max_0.8_100,max(LTP),0.8,100,,,-7.66E-17,7.52E-17,,0.819009555,0.983824009,-0.159805142,0.569553114,0.812943338,0.33616943,0.605104975
LTP Max_ma_0.99_100,"max(LTP)-moving_avg(LTP,10D)",0.99,100,,,-2.30E-17,2.26E-17,,0.672071482,0.998529483,-0.015622222,0.557229729,0.72302157,0.326136671,0.587046008
LTP diff_R_Neta_Avg_norm_0.99_2,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.99,2,-0.148351406,9.34E-17,0.062205342,0.222241032,0.229028691,0.413603176,0.750455006,0.642612099,0.510503683,0.61444659,0.382788402,0.586324111
LTP diff_R_Neta_Avg_norm_0.95_2,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.95,2,-0.15211035,1.57E-16,0.062233744,0.221638292,0.225290438,0.414356622,0.749476032,0.643266222,0.508970427,0.611105231,0.381815223,0.585434907
LTP Area_ma_0.99_100,"mean(LTP)-moving_avg(LTP,10D)",0.99,100,,,,,,0.77286888,0.920898891,-0.183169568,0.618959725,0.795473194,0.325003458,0.585006224
LTP diff_R_Neta_Avg_norm_0.9_2,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.9,2,-0.156702772,-1.82E-16,0.062255922,0.220626051,0.219915847,0.415090689,0.747980373,0.643825655,0.506399344,0.606090372,0.380242695,0.583877287
LTP diff_R_Neta_Avg_norm_0.8_2,(LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)))/var(LTP),0.8,2,-0.165301844,1.03E-16,0.062243751,0.217611762,0.206606606,0.415703214,0.743922048,0.643883902,0.498744568,0.592831029,0.375727431,0.579016952
LTP Max_0.9_100,max(LTP),0.9,100,,,-2.39E-16,4.62E-17,,0.763007843,0.994814819,-0.138008911,0.446787556,0.785895955,0.31694414,0.570499452
LTP Min_0.8_100,min(LTP),0.8,100,,,-2.48E-16,-3.47E-17,,0.760704122,0.877924832,-0.062157152,0.504324571,0.771335226,0.316903511,0.57042632
LTP Area_0.9_100,mean(LTP),0.9,100,,,9.19E-18,-4.02E-17,,0.77816578,0.990054894,-0.128806241,0.41943943,0.766073855,0.313880858,0.564985544
LTP diff_R_Neta_Avg_0.9_100,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.9,100,,,,,,0.715034628,0.988936242,0.343700065,0.697375187,,0.305005125,0.549009224
LTP diff_R_Neta_Avg_0.8_100,LTP(sign_change(R_Neta_Avg)-1min)-LTP(sign_change(R_Neta_Avg)),0.8,100,,,,,,0.782256543,0.981741326,0.26898919,0.695757401,,0.303193829,0.545748892
LTP Min_0.9_100,min(LTP),0.9,100,,,5.51E-17,-1.06E-16,,0.788708179,0.9601913,-0.06265635,0.332813934,0.70755055,0.302956401,0.545321523
LTP diff_1h_0.9_100,LTP(sign_change(R_Neta_Avg)-LTP(sign_change(R_Neta_Avg)+1h),0.9,100,,,,,,0.701521163,0.983734785,0.072527357,0.267811068,0.695599204,0.302354842,0.544238715
LTP Max_0.95_100,max(LTP),0.95,100,,,3.68E-17,3.81E-17,,0.673369283,0.999094906,-0.053528741,0.293338231,0.742965977,0.295026628,0.531047931
LTP Area_n0_1_0.9_100,(mean(LTP)-min(LTP))/(max(LTP)-min(LTP)),0.9,100,,,1.47E-16,7.42E-17,0.050761402,0.555365273,0.986957747,-0.124337024,0.451064202,0.755853525,0.297296125,0.524980745
