index,area k-0,max k-0,1,backwards window,validation error,calibration error,area k-1,max k-1,area k-2,max k-2,area k-3,max k-3,area k-4,max k-4,area k-5,max k-5,area k-6,max k-6,area k-7,max k-7,area k-8,max k-8,area k-9,max k-9,area k-10,max k-10,area k-11,max k-11,area k-12,max k-12,area k-13,max k-13,area k-14,max k-14
0,-0.051149208307934235,-0.013965389604311818,2.0499511888938384,1,0.4017909094908163,0.30485003755475915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.051536933181857536,-0.006400730471100735,2.0452665365578655,2,0.3849188592122658,0.2748054790235403,-0.046761367113048735,-0.007621044040546941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.043389103137557616,-0.00813868176508542,2.0211957722926144,3,0.36764149448669037,0.2547219296853578,-0.04313369916187454,-0.00412963607442185,-0.05117256759255512,-0.0013116701698037136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.038227169464160576,-0.0074561210236941955,1.994512735672119,4,0.36020325363272176,0.2400795882334875,-0.037034160914725056,-0.006402327491604215,-0.04638200464211213,0.0004292184681606928,-0.04604348459304816,0.00032984100144357875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.024536521225859587,-0.00853997788168459,1.9799745271513194,5,0.3593910952819462,0.23592184405182418,-0.03681070617760379,-0.005713311968351287,-0.045740095831853844,-0.0012534768545858221,-0.04222375739350709,-0.0009416864979991946,-0.026939116140538122,0.003638984564555109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.02509055859173115,-0.008490685697701457,1.9715108390066867,6,0.3828470011582631,0.23171130186029032,-0.022003273267933943,-0.006210784247555591,-0.044703978655310506,-0.00038410865776101685,-0.04019484968467238,-0.00263490757113349,-0.02441089803798896,0.0037826407233302363,-0.029395713082951247,0.0012993336245383444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.023560533325435243,-0.009705193656616734,1.9663898179463697,7,0.4131516271426139,0.22600484286161093,-0.022921077056147487,-0.005296206300670042,-0.028575446154253947,-0.0007024910280259006,-0.03836169634855055,-0.0015036498256442848,-0.022204719400471418,0.0019978330437636638,-0.02712246484059916,0.0021507879770643057,-0.03443685022916376,0.0005454904685392725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.022560782694621,-0.009573688139095156,1.961028372997312,8,0.41713763386540187,0.22461595175924562,-0.023290668530335012,-0.005241888502320387,-0.028919922490481004,-0.0009366649346645023,-0.03262557417473236,-0.0023429520286020883,-0.023353842945838914,0.0020222985604072784,-0.027731974026959372,0.0017902246953129183,-0.03145171671760883,-0.0015377586879748665,-0.01094131639862022,0.0034654354989160155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.02861361437699783,-0.009368084616215907,1.9526145682642824,9,0.42934585543140646,0.2232174247797036,-0.022749591560077803,-0.0049298365683243875,-0.02862014374485472,-0.0009555415440203052,-0.03262181242718165,-0.002585308324098756,-0.008654919660689625,0.0013025386579716414,-0.02789078776283073,0.001667992469648244,-0.030999407832678683,-0.001724295076809823,-0.0077273308688666775,0.0019211769420020564,-0.02346363584848213,0.002535579677497013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.029175025180557812,-0.009686390981654143,1.9479365840356353,10,0.4244707362332538,0.22199814700181947,-0.028516431583551577,-0.004905861614588253,-0.02951947421289071,-0.0005669843945553463,-0.03284404355612269,-0.0022644206448151454,-0.00706613321914077,0.001306330240505884,-0.01787096995215466,0.0020564337028042886,-0.029952255094312395,-0.001755543266307627,-0.00528177560065288,0.002022041140219942,-0.025377148027623447,0.0034142073377660693,-0.014576227498198285,-0.0017186220713785866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
