Fecha UTC,T_Amb_Avg,H_Relat_Avg,Rad_Glob_Avg,Rad_Par_Avg,R_Neta_Avg,VPD_Avg,Precipitaciones
2015-05-01 0:00,14.95,84.3,0,0,-55.5,0.316,0
2015-05-01 0:30,14.58,85.6,0,0,-51.93,0.267,0
2015-05-01 1:00,14.22,86.6,0,0,-53.71,0.238,0
2015-05-01 1:30,13.35,87.5,0,0,-53.7,0.218,0
2015-05-01 2:00,12.72,88.2,0,0,-53.18,0.192,0
2015-05-01 2:30,12.52,89.1,0,0,-56.6,0.174,0
2015-05-01 3:00,12.26,89.5,0,0,-56.02,0.159,0
2015-05-01 3:30,11.63,90,0,0,-54.89,0.15,0
2015-05-01 4:00,11.51,90.6,0,0,-52.41,0.136,0
2015-05-01 4:30,11.58,90.9,0,0,-52.37,0.128,0
2015-05-01 5:00,11.17,90.7,0,0,-45.02,0.125,0
2015-05-01 5:30,10.81,91.1,1.362,1.416,-34.84,0.123,0
2015-05-01 6:00,11.19,91.2,13.51,23.92,10.16,0.116,0
2015-05-01 6:30,11.56,91.1,67.51,117.9,117.4,0.116,0
2015-05-01 7:00,14.71,87.1,167.9,278.3,184.8,0.121,0
2015-05-01 7:30,17.49,73.16,265,442.7,287.6,0.22,0
2015-05-01 8:00,20.39,59.97,397.4,679.8,378.4,0.542,0
2015-05-01 8:30,22.16,51.16,519.8,915,393.4,0.963,0
2015-05-01 9:00,22.7,46.88,552.4,1008,299.1,1.307,0
2015-05-01 9:30,22.44,48.38,457.9,846,562.7,1.467,0
2015-05-01 10:00,25.49,40.94,817,1507,567.4,1.403,0
2015-05-01 10:30,26.76,34.37,852,1591,563.7,1.932,0
2015-05-01 11:00,26.88,33.03,888,1672,559.3,2.311,0
2015-05-01 11:30,27.15,31.86,912,1730,596,2.371,0
2015-05-01 12:00,28.33,28.69,990,1882,592.6,2.45,0
2015-05-01 12:30,29.11,27.06,1007,1933,547,2.749,0
2015-05-01 13:00,30.04,21.38,960,1856,551.2,2.94,0
2015-05-01 13:30,30.16,19.4,970,1877,459.1,3.345,0
2015-05-01 14:00,30.18,19.76,866,1686,391.1,3.451,0
2015-05-01 14:30,31.05,19.23,764.5,1500,418.5,3.441,0
2015-05-01 15:00,31.51,17.82,838,1644,345.1,3.638,0
2015-05-01 15:30,31.83,16.64,747.5,1486,279.6,3.802,0
2015-05-01 16:00,31.88,16.68,669.5,1342,178.7,3.925,0
2015-05-01 16:30,31.53,15.42,524.9,1062,99.7,3.935,0
2015-05-01 17:00,31.71,15.42,384.2,780.8,21.6,3.917,0
