Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0620984805819023e-09, 1.5639806382187737e-11, 8.790588843012841e-11, 1.5492297456953616e-11, 7.013752209054198e-11, 2.241356522769106e-11, 1.562891574724733e-10, 5.400414092683714e-11, 1.4287197146951058e-11, 1.667626869062847e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474323e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.156514702165622e-23, 9.685335452933685e-23, 6.058690890084914e-22, 1.8319551410396713e-19, 1.2915626779800579e-21, 2.65389409220433e-21, 3.7282291546699166e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
