Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0628456372249477e-09, 1.563180057464192e-11, 8.741853133132225e-11, 1.547970665187974e-11, 7.016576000729011e-11, 2.238600301703502e-11, 1.56241439990741e-10, 5.4017981754872886e-11, 1.4282291376732698e-11, 1.6671245366853675e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.0433426746474362e-11, 1.3056863792031108e-08]","[53.0, 89.0]"
covtype,"[9.156514701507985e-23, 9.685335453411354e-23, 6.058690890408002e-22, 1.831955141003914e-19, 1.2915626777161974e-21, 2.653894092646698e-21, 3.728229153598926e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
