Dataset,QDA accuracy,Dissim accuracy
iris,0.9866666666666667,0.9733333333333333
digits,0.9563154798677769,0.9451896339935185
wine,0.9626984126984127,0.9765873015873017
breast_cancer,0.9538842626752397,0.9011805628755138
covtype,0.5039627933459344,0.3945067927309065
