,ZIMmeteoraw0,ZIMmeteoraw3,ZIMmeteoraw6,ZIMmeteoraw9
LDA,0.5332169459237229,0.5303079559230889,0.48872369075355476,0.5520401916711645
Nearest Neighbors,0.6415619182714262,0.6034055942319347,0.5976537182803466,0.6022944524462411
Linear SVM,0.6754932814972042,0.6365910152995916,0.5900965970821285,0.597929699775369
Random Forest,0.6025087530473466,0.5976364617382964,0.6063093141674457,0.6139978422722522
BEST,0.6754932814972042,0.6365910152995916,0.6063093141674457,0.6139978422722522
