Fecha,TDV Control (µm) P1,TDV Control (µm) P12,TDV 45RDI-PB (µm) P6,TDV 45RDI-PB (µm) P8,TDV 45RDI-CC (µm) P3,TDV 45RDI-CC (µm) P5
2015-06-03 00:00:00.000,0,0,42158,0,0,0
2015-06-03 00:15:00.000,8.299999999999955,,42158.010416666664,8.299999999999955,7.900000000000091,-2
2015-06-03 00:30:00.000,12.200000000000045,5.7999999999999545,42158.020833333336,12.200000000000045,11.5,-6
2015-06-03 00:44:59.985,17.5,,42158.03124982639,17.5,9.700000000000045,-2.599999999999909
2015-06-03 00:59:59.980,23.90000000000009,11.599999999999909,42158.04166643519,23.90000000000009,16.40000000000009,-1.199999999999818
2015-06-03 01:14:59.975,28.40000000000009,,42158.05208304398,28.40000000000009,19.5,4
2015-06-03 01:29:59.970,33,34.700000000000045,42158.06249965278,33,23.100000000000136,6
2015-06-03 01:44:59.965,27.799999999999955,,42158.072916261575,27.799999999999955,23.700000000000045,7.300000000000182
2015-06-03 01:59:59.960,37.5,32.799999999999955,42158.083332870374,37.5,27.90000000000009,16.600000000000136
2015-06-03 02:14:59.955,38.799999999999955,,42158.093749479165,38.799999999999955,24.200000000000045,12.700000000000045
2015-06-03 02:29:59.950,43.299999999999955,34.700000000000045,42158.104166087964,43.299999999999955,24.90000000000009,11.900000000000091
2015-06-03 02:44:59.945,44,,42158.11458269676,44,24.90000000000009,13.900000000000091
2015-06-03 02:59:59.940,43.299999999999955,36.59999999999991,42158.12499930555,43.299999999999955,24.90000000000009,7.300000000000182
2015-06-03 03:14:59.935,42.700000000000045,,42158.13541591435,42.700000000000045,26.700000000000045,4
2015-06-03 03:29:59.930,42.700000000000045,34.700000000000045,42158.14583252315,42.700000000000045,28.5,6.7000000000000455
2015-06-03 03:44:59.925,46.59999999999991,,42158.15624913194,46.59999999999991,31.5,8.700000000000045
2015-06-03 03:59:59.920,51.700000000000045,38.59999999999991,42158.16666574074,51.700000000000045,34,11.300000000000182
2015-06-03 04:14:59.915,53.700000000000045,,42158.17708234954,53.700000000000045,35.100000000000136,11.300000000000182
2015-06-03 04:29:59.910,58.299999999999955,46.299999999999955,42158.18749895833,58.299999999999955,35.100000000000136,7.300000000000182
2015-06-03 04:44:59.905,56.299999999999955,,42158.19791556713,56.299999999999955,35.799999999999955,11.300000000000182
2015-06-03 04:59:59.900,60.200000000000045,46.299999999999955,42158.20833217593,60.200000000000045,35.100000000000136,11.300000000000182
2015-06-03 05:14:59.895,61.40000000000009,,42158.21874878472,61.40000000000009,36.40000000000009,11.900000000000091
2015-06-03 05:29:59.890,62.799999999999955,42.399999999999864,42158.22916539352,62.799999999999955,34,19.90000000000009
2015-06-03 05:44:59.885,62.799999999999955,,42158.239582002316,62.799999999999955,34.600000000000136,19.90000000000009
2015-06-03 05:59:59.880,60.200000000000045,38.59999999999991,42158.249998611114,60.200000000000045,29.700000000000045,17.200000000000045
2015-06-03 06:14:59.875,49.799999999999955,,42158.260415219906,49.799999999999955,23.100000000000136,11.300000000000182
2015-06-03 06:29:59.870,47.200000000000045,42.399999999999864,42158.270831828704,47.200000000000045,11.5,13.300000000000182
2015-06-03 06:44:59.865,48.59999999999991,,42158.2812484375,48.59999999999991,2.400000000000091,13.900000000000091
2015-06-03 06:59:59.860,42,30.899999999999864,42158.291665046294,42,-5.399999999999864,6
2015-06-03 07:14:59.855,33,,42158.30208165509,33,-21.200000000000045,9.900000000000091
2015-06-03 07:29:59.850,21.299999999999955,9.700000000000045,42158.31249826389,21.299999999999955,-40.59999999999991,5.300000000000182
2015-06-03 07:44:59.845,5.099999999999909,,42158.32291487268,5.099999999999909,-57.59999999999991,-4.599999999999909
2015-06-03 07:59:59.840,-10.5,-15.400000000000091,42158.33333148148,-10.5,-81.79999999999995,-10.599999999999909
2015-06-03 08:14:59.835,-29.90000000000009,,42158.34374809028,-29.90000000000009,-101.20000000000005,-21.09999999999991
2015-06-03 08:29:59.830,-46.09999999999991,-42.299999999999955,42158.35416469907,-46.09999999999991,-107.29999999999995,-43.69999999999982
2015-06-03 08:44:59.825,-73.90000000000009,,42158.36458130787,-73.90000000000009,-118.20000000000005,-51.59999999999991
2015-06-03 08:59:59.820,-102.5,-65.40000000000009,42158.37499791667,-102.5,-124.89999999999986,-71.5
2015-06-03 09:14:59.815,-121.29999999999995,,42158.385414525466,-121.29999999999995,-132.70000000000005,-74.09999999999991
2015-06-03 09:29:59.810,-133,-71.20000000000005,42158.39583113426,-133,-136.89999999999986,-74.69999999999982
2015-06-03 09:44:59.805,-141.29999999999995,,42158.406247743056,-141.29999999999995,-153.29999999999995,-70.09999999999991
2015-06-03 09:59:59.800,-143.9000000000001,-98.20000000000005,42158.416664351855,-143.9000000000001,-174,-80.09999999999991
2015-06-03 10:14:59.795,-151.0999999999999,,42158.427080960646,-151.0999999999999,-196.39999999999986,-83.39999999999986
2015-06-03 10:29:59.790,-167.20000000000005,-123.20000000000005,42158.437497569445,-167.20000000000005,-207.79999999999995,-93.29999999999995
2015-06-03 10:44:59.785,-183.5,,42158.44791417824,-183.5,-224.20000000000005,-99.89999999999986
2015-06-03 10:59:59.780,-194.4000000000001,-169.5,42158.458330787034,-194.4000000000001,-239.39999999999986,-111.79999999999995
2015-06-03 11:14:59.775,-207.4000000000001,,42158.46874739583,-207.4000000000001,-252.70000000000005,-123.79999999999995
2015-06-03 11:29:59.770,-222.4000000000001,-204.10000000000014,42158.47916400463,-222.4000000000001,-264.89999999999986,-132.29999999999995
