,LTP_1,LTP_2,LTP_3,LTP_1_std,LTP_2_std,LTP_3_std,DIFF_1,DIFF_2,DIFF_3,DIFF_1_std,DIFF_2_std,DIFF_3_std
8.5,0.5514773567157651,0.6379801660402565,0.09933673895430976,0.5734786425973094,0.6573474736748225,1.0515291880366067,0.005532092720003306,0.002055927711374281,-0.0035205781303218526,0.002454942890018294,0.005673201205007056,0.008714677992025074
8.6,0.5767973745329635,0.6445070424391692,0.0804928866126219,0.5743803314687083,0.6414144413878495,1.0300780181254818,0.005463279050068595,0.0020631433155362325,-0.003390382632129656,0.002478692143706528,0.005423425738238331,0.008830425124043216
8.700000000000001,0.6119579591918838,0.6428148629885692,0.03629717967469705,0.5673204817248645,0.6164520191381894,1.0105643118524061,0.005363781289960476,0.0019117957036325873,-0.003432064688581863,0.002473817701902229,0.005408725692689533,0.00901673509174962
8.8,0.6381405571950896,0.6458050190975144,0.023036251800587427,0.567754439845776,0.6422100528975605,1.0184962879497186,0.0052730900161059545,0.0017890687885053886,-0.003390230169753648,0.002494931599451773,0.005248646723082447,0.00895427353405273
8.9,0.6630885733031896,0.645003848804299,0.004822659714252831,0.5629409904108174,0.6270961166294693,0.985402823630627,0.00518806469738045,0.0017644799517726804,-0.003300827554654668,0.002526190327044766,0.005132624706018006,0.009024073830085418
9.0,0.6936128509021511,0.643033111780466,-0.02255623886587864,0.5618096974781981,0.6370026003907162,0.9776133046035688,0.005077936653572752,0.0016513461750604144,-0.0033229061365733126,0.002563903603615273,0.0050351691925260315,0.009196695837183522
9.1,0.7234813361558627,0.6560955955344356,-0.04758072410002315,0.5562706813834118,0.6662808461762485,0.9718694852992796,0.004974426355768603,0.0015067156349564065,-0.003210477184643532,0.00257990321110052,0.004782828904845022,0.009258627453190836
9.200000000000001,0.7439131520597019,0.6481455476910887,-0.049873588797525195,0.5505170849346318,0.667691292799061,0.9450813400495442,0.00488947420130495,0.0015072755402499645,-0.003185469278797851,0.0026068478511745733,0.004876748492816566,0.009368679877156621
9.3,0.7726276232756154,0.6555149385737501,-0.06574191224864283,0.5480364370224539,0.6829438009363076,0.9284338550398791,0.004794876619352419,0.0014387150613476703,-0.0031284176760994187,0.0026583046545803047,0.004612468493486145,0.009305734647947357
9.4,0.7944948991213959,0.6666946003328839,-0.0864102060202357,0.544227639024021,0.6749694726101544,0.9391237868024143,0.004695484407771622,0.0014010246797536738,-0.0029951838960250183,0.0026874100931315163,0.004602166112334852,0.00946733843830201
9.5,0.8223278832686499,0.6593688173002294,-0.09089311867594534,0.5365341349688185,0.6863802892549371,0.9331933801697587,0.004609786434991516,0.0013340835231552826,-0.002971720984981523,0.0027303069268812337,0.004476564232141675,0.009380893892103923
9.600000000000001,0.8414421991113199,0.6633735281862606,-0.09943368614912661,0.5346048597625274,0.7033992442246034,0.9418282318548903,0.004519682934268244,0.0012373739121840056,-0.0028539204856882715,0.0027715241326269975,0.004380471822875809,0.00943747647775249
9.700000000000001,0.8695495440378516,0.6758529152234093,-0.11840801253946107,0.5250642665282556,0.674977967906166,0.9467379298380814,0.0044064859001570105,0.0012219571660784887,-0.002817955278873084,0.002804664519993759,0.004444490074382574,0.009342970129495256
9.8,0.8934165800907512,0.6741328313381433,-0.1123910081954771,0.5167646578365895,0.6838715659584922,0.9717269023969449,0.004338220339315647,0.0013290944455218614,-0.0026701452109476912,0.0028487857198214264,0.00435015275841733,0.009322255097796942
9.9,0.9148985041986744,0.6935346668559749,-0.1250012295667982,0.5147578524913906,0.6508318436036217,0.9741857750345814,0.004247654153318673,0.0012747541161984917,-0.0025844877674286552,0.0029165072677316455,0.0042984856199274986,0.009325150040560604
10.0,0.934622334678741,0.6780946167262958,-0.1286343786872041,0.5063224212222763,0.6720197586817929,0.9867730763115778,0.004182583632838184,0.001357531937323275,-0.002493100781826607,0.0029243248282404795,0.004366743030239066,0.009289287954436306
10.100000000000001,0.9592403702392295,0.6990434406979776,-0.14080141406063718,0.5009735160138148,0.6623840503087703,0.9962026753042719,0.004077935784663013,0.0012799915319414673,-0.002368965434085874,0.0029878790396087765,0.004222188042231879,0.00934243547183784
10.200000000000001,0.980789113037326,0.6964020974705584,-0.14307295106900925,0.49831427167271647,0.6479347175246317,1.0295620365345055,0.003994981639857008,0.001307307724678015,-0.0022270899135029255,0.003043724885446084,0.004215355707723221,0.009352967161860135
10.3,1.0036284407010347,0.7067803203152241,-0.1484721167089902,0.48998570018515053,0.6595083160986102,1.0355451050125124,0.003939906948848716,0.0013939594653586908,-0.002160406816375936,0.003042182898843034,0.004299671896974955,0.009137159066934955
10.4,1.021793970034757,0.6965568511759213,-0.14960695984079728,0.4873728170625337,0.6511523552084268,1.06984947635504,0.0038297544730363643,0.0013196889920633087,-0.0019929439945980615,0.0031251256249084022,0.004400180634700556,0.009158610238043282
10.5,1.0449459790311109,0.7168413191208821,-0.15612789904997593,0.48943271601137345,0.6450135022656831,1.0947180121027933,0.0037553309477723834,0.0014581739634825647,-0.0018900760503487903,0.0031445071167299395,0.004411164992207795,0.00907467102818713
10.600000000000001,1.066775415623363,0.7250196439963128,-0.1611451931483208,0.4832016963790521,0.6303136397896245,1.1235208905818272,0.003700434805457921,0.0014902198946798021,-0.001771594199995268,0.00317428357412407,0.004623735469502028,0.008919226461484919
10.700000000000001,1.0872048406130985,0.7288127360828601,-0.1756965784736227,0.4880177620196295,0.6265425975005758,1.1352443817867088,0.0035923877690197553,0.001540007456301091,-0.001742146450071388,0.00321374203807351,0.004671741934817552,0.008780204411324726
10.8,1.1088510131980505,0.7389801593989407,-0.16711477747474038,0.4823619088367332,0.6032942840933171,1.2009620703926993,0.0035319766911073363,0.0015152435078087023,-0.001554268928709942,0.0032325644218136875,0.004987222290990543,0.008638514215536613
10.9,1.1308711116956542,0.748712757620509,-0.18893709019663224,0.47901781452167025,0.6005803947039329,1.2027955940070796,0.003423707346632162,0.0016150214720449835,-0.0015709849708247378,0.003262303769686747,0.0049228343611908846,0.008290453647239605
11.0,1.1498285852297776,0.7574602970084524,-0.189686973403308,0.4772421596820811,0.6285887411589052,1.2402836762659628,0.00334655461167456,0.001574757164410735,-0.0015134754002096532,0.003279450178047678,0.005342563803105952,0.008158170358872703
