,raw0,raw3,raw6,raw9,80ZIM4Meteo0,80ZIM4Meteo3,80ZIM4Meteo6,80ZIM4Meteo9,15ZIM4Meteo0,15ZIM4Meteo3,15ZIM4Meteo6,15ZIM4Meteo9
CNN,0.5999397352232227,0.4992665751732741,0.5544196640847169,0.5518748190250616,0.7119864513889196,0.7149998881473779,0.6844364763465925,0.6698919047985904,0.6950205715546206,0.6935697672008295,0.681629763506716,0.6502069044759452
LDA,0.4626341706041641,0.5051677758547336,0.5587311863161596,0.601532496182408,0.6440737047898658,0.49669640715011215,0.5668002238564077,0.5589192142469592,0.6995714138698447,0.6610284120026688,0.5929974159681018,0.494464309348283
Nearest Neighbors,0.7191940074140822,0.6851485782505552,0.6673936956699412,0.6542781108289658,0.7256155335264584,0.7353484455461414,0.6902740420254997,0.7035315576652602,0.702294613774742,0.6952143701681464,0.6740065272477649,0.6849009775491606
Linear SVM,0.6239954480708846,0.6473555269459124,0.6304887833733125,0.6400244917974526,0.7260663368590498,0.73088800925524,0.7219234442404024,0.7146094824112265,0.6733703848792661,0.6900982928006111,0.6870513025776758,0.6890783483001206
Random Forest,0.7132394362615911,0.6553688745553345,0.6577315599164874,0.6353185446191872,0.7390910965996634,0.7585014662955212,0.7234753368218781,0.690304400123527,0.6961464486570185,0.7155883355570456,0.6984397291405693,0.6898948793899503
BEST,0.7191940074140822,0.6851485782505552,0.6673936956699412,0.6542781108289658,0.7390910965996634,0.7585014662955212,0.7234753368218781,0.7146094824112265,0.702294613774742,0.7155883355570456,0.6984397291405693,0.6898948793899503
