,TDVrawTrain20143,TDVrawTrain20146,TDVrawTrain20149,TDVmeteorawTrain20143,TDVmeteorawTrain20146,TDVmeteorawTrain20149
LDA,0.5187957146294403,0.5050456178076125,0.4350571233630456,0.4141369755284714,0.39392447094923705,0.38528960643617943
Nearest Neighbors,0.5929554626068329,0.5773785066998071,0.5853234117522509,0.5865270575950129,0.578897873757971,0.5826143576218202
Neural Net,0.4739287692971302,0.5774373035542232,0.4513812986050881,0.5782220651184294,0.5998046952163181,0.545820235542959
Naive Bayes,0.5863080291594046,0.5773225219329718,0.572596254646974,0.5849583356062196,0.5674896964531767,0.5653212111208545
QDA,0.3348984567093955,0.3404665420968742,0.3437400193182248,0.33060595305796153,0.3679197960154781,0.3978465379357639
BEST,0.5929554626068329,0.5774373035542232,0.5853234117522509,0.5865270575950129,0.5998046952163181,0.5826143576218202
