Dataset,Fk,ck
iris,"[38.85382856012609, 9.463760246086926, 3.313284824838961]","[12.5, 12.5, 12.5]"
digits,"[1.0635212240881701e-09, 1.5633021705817395e-11, 8.747788813042828e-11, 1.548230139058687e-11, 7.013154739518334e-11, 2.2373937644507556e-11, 1.5626772014157247e-10, 5.402984489036746e-11, 1.4276038784404008e-11, 1.668364657362931e-11]","[44.5, 45.5, 44.5, 45.5, 45.0, 45.5, 45.0, 45.0, 43.5, 45.0]"
wine,"[4.737099237524365e-05, 3.768434003562484e-06, 3.670401509025998e-05]","[14.5, 18.0, 12.0]"
breast_cancer,"[2.043342674647443e-11, 1.3056863792031154e-08]","[53.0, 89.0]"
covtype,"[9.156514701719954e-23, 9.685335453342948e-23, 6.058690887892313e-22, 1.8319551408555743e-19, 1.2915626775766965e-21, 2.6538940914854053e-21, 3.728229153945609e-22]","[911.5, 1219.0, 153.5, 12.0, 41.0, 74.5, 88.5]"
