Dataset,QDA accuracy,Dissim accuracy
iris,0.9866666666666667,0.9733333333333334
digits,0.9566184649610678,0.5917686318131257
wine,0.9662921348314607,0.9550561797752809
breast_cancer,0.9614035087719298,0.8315789473684211
covtype,0.6512,0.655
