,P5,P11,P16,P7,P10,P15,P6,P12,P13,P8,P9,P14,,Estados estrés hídrico:
Fecha,Estado Control_1,Estado Control_2,Estado Control_3,Estado RDI45_1,Estado RDI45_2,Estado RDI45_3,Estado RDI30_1,Estado RDI30_2,Estado RDI30_3,Estado BOSCH_1,Estado BOSCH_2,Estado BOSCH_3,,1- SIN ESTRÉS
2019-07-16,1,1,1,2,2,1,2,3,3,1,3,3,,
2019-07-17,1,1,1,3,2,1,2,3,3,1,3,3,,
2019-07-18,1,1,1,3,2,1,2,3,3,1,3,3,,
2019-07-19,1,1,1,3,2,1,3,3,3,1,3,3,,
2019-07-20,1,1,1,3,3,1,3,3,3,1,3,3,,
2019-07-21,1,1,1,3,3,2,3,3,3,1,3,3,,
2019-07-22,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-23,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-24,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-25,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-26,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-27,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-28,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-29,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-30,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-07-31,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-01,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-02,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-03,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-04,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-05,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-06,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-07,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-08,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-09,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-10,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-11,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-12,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-13,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-14,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-15,1,1,1,3,3,2,3,3,3,2,3,3,,
2019-08-16,1,1,1,3,3,3,3,3,3,2,3,3,,
2019-08-17,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-18,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-19,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-20,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-21,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-22,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-23,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-24,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-25,1,1,1,3,3,3,3,3,3,3,3,3,,
2019-08-26,1,1,1,2,2,2,3,3,3,3,3,3,,
2019-08-27,1,1,1,1,1,1,3,3,3,2,2,2,,
2019-08-28,1,1,1,1,1,1,2,2,2,2,2,2,,
2019-08-29,1,1,1,1,1,1,2,2,2,2,2,2,,
2019-08-30,1,1,1,1,1,1,2,2,2,2,2,2,,
2019-08-31,1,1,1,1,1,1,2,2,2,2,2,2,,
2019-09-01,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-02,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-03,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-04,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-05,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-06,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-07,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-08,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-09,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-10,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-11,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-12,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-13,1,1,1,1,1,1,2,2,2,1,1,2,,
2019-09-14,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-09-15,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-09-16,1,1,1,1,1,1,1,1,1,1,1,1,,
2019-09-17,1,1,1,1,1,1,1,1,1,1,1,2,,
